α_weak,α_strong,α,gam_neg,shape,analysis,method
0.0305894,0.192027,0.220606,604.816,0.148138,isolation_0.4_0.1_0.2,abc_mk
0.0169504,0.184383,0.203059,572.637,0.142487,isolation_0.4_0.1_0.2,abc_mk
0.0222822,0.193063,0.222602,575.008,0.14765,isolation_0.4_0.1_0.2,abc_mk
0.0269931,0.190723,0.217497,1517.93,0.14674,isolation_0.4_0.1_0.2,abc_mk
0.0290599,0.184868,0.209079,578.967,0.142243,isolation_0.4_0.1_0.2,abc_mk
0.0245726,0.195006,0.222421,565.365,0.149288,isolation_0.4_0.1_0.2,abc_mk
0.0226725,0.190075,0.21077,541.901,0.145131,isolation_0.4_0.1_0.2,abc_mk
0.0215413,0.180089,0.207312,568.865,0.143362,isolation_0.4_0.1_0.2,abc_mk
0.0231339,0.193507,0.216985,1335.41,0.147387,isolation_0.4_0.1_0.2,abc_mk
0.0363682,0.177031,0.218064,600.991,0.14626,isolation_0.4_0.1_0.2,abc_mk
0.0307946,0.187295,0.217067,559.887,0.147359,isolation_0.4_0.1_0.2,abc_mk
0.0637847,0.181948,0.238456,668.414,0.152455,isolation_0.4_0.1_0.2,abc_mk
0.0779407,0.172843,0.232687,588.066,0.151338,isolation_0.4_0.1_0.2,abc_mk
0.0229895,0.185985,0.217418,621.952,0.146738,isolation_0.4_0.1_0.2,abc_mk
0.0397981,0.188917,0.228405,643.36,0.151574,isolation_0.4_0.1_0.2,abc_mk
0.0216101,0.198324,0.224827,556.647,0.154202,isolation_0.4_0.1_0.2,abc_mk
0.0327319,0.184355,0.219071,559.861,0.150289,isolation_0.4_0.1_0.2,abc_mk
0.041894,0.18361,0.223525,606.292,0.147549,isolation_0.4_0.1_0.2,abc_mk
0.0375403,0.179411,0.221644,599.179,0.147132,isolation_0.4_0.1_0.2,abc_mk
0.0365044,0.184487,0.221692,624.577,0.147902,isolation_0.4_0.1_0.2,abc_mk
0.0401391,0.182822,0.217788,593.943,0.150723,isolation_0.4_0.1_0.2,abc_mk
0.0228491,0.18861,0.222421,575.919,0.147879,isolation_0.4_0.1_0.2,abc_mk
0.0285792,0.191027,0.216411,602.28,0.145775,isolation_0.4_0.1_0.2,abc_mk
0.0647962,0.176808,0.233156,1522.86,0.151221,isolation_0.4_0.1_0.2,abc_mk
0.066127,0.174677,0.23083,588.572,0.153363,isolation_0.4_0.1_0.2,abc_mk
0.0331079,0.176091,0.206909,604.533,0.142976,isolation_0.4_0.1_0.2,abc_mk
0.0309558,0.186028,0.213922,581.0,0.143606,isolation_0.4_0.1_0.2,abc_mk
0.0263842,0.181797,0.210677,546.733,0.145692,isolation_0.4_0.1_0.2,abc_mk
0.0218063,0.197925,0.223667,663.544,0.151478,isolation_0.4_0.1_0.2,abc_mk
0.0366872,0.181383,0.219575,573.894,0.145373,isolation_0.4_0.1_0.2,abc_mk
0.0206232,0.199108,0.215303,583.338,0.146905,isolation_0.4_0.1_0.2,abc_mk
0.0811896,0.188391,0.24493,594.33,0.153276,isolation_0.4_0.1_0.2,abc_mk
0.0302186,0.173839,0.201454,606.6,0.142237,isolation_0.4_0.1_0.2,abc_mk
0.0404253,0.186987,0.222697,565.256,0.147121,isolation_0.4_0.1_0.2,abc_mk
0.0461394,0.184858,0.225601,600.154,0.15018,isolation_0.4_0.1_0.2,abc_mk
0.0382081,0.204527,0.238433,582.99,0.154072,isolation_0.4_0.1_0.2,abc_mk
0.0276126,0.190782,0.222447,587.848,0.149027,isolation_0.4_0.1_0.2,abc_mk
0.021417,0.202403,0.222302,587.392,0.149582,isolation_0.4_0.1_0.2,abc_mk
0.013371,0.178223,0.209759,480.671,0.147619,isolation_0.4_0.1_0.2,abc_mk
0.0332339,0.194182,0.22111,597.623,0.150912,isolation_0.4_0.1_0.2,abc_mk
