true_aw	B	aw	as	a	delta_aw	delta_as	delta_a
0.1	0.2	0.093 [0.044-0.136]	0.111 [0.085-0.137]	0.198 [0.178-0.22]	0.06	0.049	0.004
0.1	0.4	0.105 [0.055-0.151]	0.169 [0.14-0.201]	0.265 [0.246-0.282]	0.056	0.055	0.008
0.1	0.8	0.086 [0.048-0.12]	0.289 [0.261-0.315]	0.369 [0.354-0.385]	0.016	0.009	0.001
0.1	0.999	0.101 [0.069-0.129]	0.315 [0.292-0.34]	0.409 [0.395-0.42]	0.023	0.008	0.007
0.2	0.2	0.13 [0.089-0.175]	0.081 [0.061-0.105]	0.2 [0.171-0.23]	0.061	0.029	0.023
0.2	0.4	0.217 [0.169-0.265]	0.105 [0.085-0.127]	0.311 [0.283-0.343]	0.115	0.049	0.056
0.2	0.8	0.172 [0.134-0.214]	0.194 [0.163-0.217]	0.357 [0.34-0.371]	0.025	0.011	0.005
0.2	0.999	0.192 [0.15-0.226]	0.204 [0.178-0.236]	0.387 [0.373-0.402]	0.029	0.019	0.001
0.3	0.2	0.087 [0.056-0.121]	0.049 [0.034-0.067]	0.133 [0.108-0.161]	0.018	0.007	0.027
0.3	0.4	0.182 [0.129-0.223]	0.073 [0.058-0.092]	0.246 [0.212-0.277]	0.023	0.006	0.008
0.3	0.8	0.251 [0.212-0.287]	0.126 [0.105-0.149]	0.366 [0.344-0.388]	0.023	0.019	0.031
0.3	0.999	0.242 [0.212-0.276]	0.145 [0.123-0.163]	0.376 [0.359-0.394]	0.013	0.03	0.006
