α_weak,α_strong,α,gam_neg,shape,analysis,method
0.0989468,0.106508,0.200518,853.297,0.175195,no_demog_0.4_0.1_0.2,abc_mk
0.126016,0.099638,0.216746,839.142,0.180739,no_demog_0.4_0.1_0.2,abc_mk
0.0832735,0.103623,0.178966,450.909,0.165839,no_demog_0.4_0.1_0.2,abc_mk
0.0427561,0.142626,0.187986,459.596,0.171701,no_demog_0.4_0.1_0.2,abc_mk
0.101005,0.134468,0.223178,442.847,0.18201,no_demog_0.4_0.1_0.2,abc_mk
0.0979791,0.109952,0.200632,479.077,0.175405,no_demog_0.4_0.1_0.2,abc_mk
0.0564325,0.129009,0.184513,454.998,0.171488,no_demog_0.4_0.1_0.2,abc_mk
0.108231,0.0970512,0.194042,444.876,0.172082,no_demog_0.4_0.1_0.2,abc_mk
0.116421,0.0992655,0.208308,447.282,0.174825,no_demog_0.4_0.1_0.2,abc_mk
0.136213,0.0871575,0.216912,442.974,0.18025,no_demog_0.4_0.1_0.2,abc_mk
0.0581347,0.137431,0.196594,450.914,0.1728,no_demog_0.4_0.1_0.2,abc_mk
0.0780613,0.123797,0.190043,469.185,0.17212,no_demog_0.4_0.1_0.2,abc_mk
0.0884185,0.103887,0.185799,447.287,0.168751,no_demog_0.4_0.1_0.2,abc_mk
0.109888,0.0933052,0.200306,851.261,0.176426,no_demog_0.4_0.1_0.2,abc_mk
0.114442,0.107899,0.215449,839.992,0.177687,no_demog_0.4_0.1_0.2,abc_mk
0.0388613,0.144487,0.180889,442.988,0.16828,no_demog_0.4_0.1_0.2,abc_mk
0.0481292,0.145091,0.187092,435.526,0.170103,no_demog_0.4_0.1_0.2,abc_mk
0.0317005,0.133058,0.165,427.427,0.162123,no_demog_0.4_0.1_0.2,abc_mk
0.107282,0.0851194,0.182749,476.667,0.170792,no_demog_0.4_0.1_0.2,abc_mk
0.101415,0.102645,0.194409,868.767,0.169898,no_demog_0.4_0.1_0.2,abc_mk
0.0223119,0.145198,0.179983,437.678,0.169394,no_demog_0.4_0.1_0.2,abc_mk
0.134886,0.0915033,0.212544,457.843,0.180329,no_demog_0.4_0.1_0.2,abc_mk
0.0363719,0.148223,0.185362,449.073,0.171222,no_demog_0.4_0.1_0.2,abc_mk
0.0914622,0.113662,0.203781,457.133,0.179768,no_demog_0.4_0.1_0.2,abc_mk
0.123468,0.103028,0.215192,431.198,0.178727,no_demog_0.4_0.1_0.2,abc_mk
0.0922382,0.121173,0.200939,421.856,0.173613,no_demog_0.4_0.1_0.2,abc_mk
0.0607997,0.12848,0.181242,446.83,0.16817,no_demog_0.4_0.1_0.2,abc_mk
0.128459,0.0930725,0.208323,452.527,0.174754,no_demog_0.4_0.1_0.2,abc_mk
0.100008,0.116485,0.209102,460.561,0.17645,no_demog_0.4_0.1_0.2,abc_mk
0.110931,0.0933875,0.200605,448.047,0.170732,no_demog_0.4_0.1_0.2,abc_mk
0.153194,0.0736448,0.222555,829.598,0.18318,no_demog_0.4_0.1_0.2,abc_mk
0.053229,0.121911,0.166844,426.138,0.165567,no_demog_0.4_0.1_0.2,abc_mk
0.0387879,0.137182,0.174432,466.708,0.168594,no_demog_0.4_0.1_0.2,abc_mk
0.163505,0.0661961,0.218753,445.343,0.178027,no_demog_0.4_0.1_0.2,abc_mk
0.0753586,0.134432,0.197593,458.095,0.173578,no_demog_0.4_0.1_0.2,abc_mk
0.0512579,0.131564,0.184081,457.432,0.168435,no_demog_0.4_0.1_0.2,abc_mk
0.106383,0.130709,0.225212,855.575,0.182781,no_demog_0.4_0.1_0.2,abc_mk
0.140938,0.0692684,0.201674,495.834,0.176031,no_demog_0.4_0.1_0.2,abc_mk
0.137114,0.0808227,0.216003,484.919,0.178887,no_demog_0.4_0.1_0.2,abc_mk
0.10736,0.0993675,0.19839,464.398,0.173484,no_demog_0.4_0.1_0.2,abc_mk
0.116485,0.0900146,0.194721,485.682,0.173981,no_demog_0.4_0.1_0.2,abc_mk
0.0592519,0.13543,0.194766,470.375,0.174171,no_demog_0.4_0.1_0.2,abc_mk
0.0970936,0.106907,0.198236,455.426,0.175298,no_demog_0.4_0.1_0.2,abc_mk
0.0883891,0.101392,0.189408,461.055,0.169425,no_demog_0.4_0.1_0.2,abc_mk
