aw	as	a	analysis	b	w	method
0.0670622	0.135639	0.190043	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.118533	0.0901956	0.206687	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.175539	0.0607902	0.230936	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0813651	0.123071	0.212535	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.172091	0.0455303	0.216335	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.090848	0.114249	0.205821	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.132721	0.0731546	0.202756	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0718056	0.113321	0.184349	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0514249	0.149183	0.201128	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.107936	0.0840272	0.200509	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.136863	0.0676788	0.194633	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0450218	0.141313	0.180753	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.104739	0.11894	0.218204	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0788341	0.116821	0.192906	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0682819	0.125866	0.195765	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.114252	0.0872211	0.190792	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.116555	0.0952683	0.204292	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0913709	0.100897	0.20053	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.101575	0.104033	0.196998	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.134402	0.075646	0.194068	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.137576	0.0675158	0.210009	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.15302	0.0769392	0.22274	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.158814	0.0622852	0.213489	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.164161	0.0684626	0.21935	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0798827	0.126351	0.208318	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.10465	0.10873	0.203069	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.155971	0.0611676	0.211151	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.129831	0.0688393	0.199918	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.132919	0.0807001	0.204062	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0900019	0.114804	0.204423	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0944503	0.102842	0.208128	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.136112	0.0770802	0.215124	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.118856	0.0621023	0.187458	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.111647	0.0931869	0.199716	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.112509	0.0778011	0.186835	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.068279	0.12559	0.20258	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.15606	0.0551823	0.200576	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0320175	0.180016	0.203895	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.102763	0.0879187	0.190385	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.147024	0.0604002	0.216322	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.157414	0.0542142	0.211878	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0940718	0.103749	0.20633	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0854109	0.123033	0.206852	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0412436	0.169571	0.210665	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.115232	0.09698	0.214198	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.117198	0.0797911	0.209484	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0964131	0.113094	0.204947	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0469278	0.151803	0.183811	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0963462	0.114566	0.213331	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.093567	0.105692	0.184143	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.09253	0.107068	0.199589	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.107474	0.0897039	0.190389	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.111926	0.105292	0.215668	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0708817	0.148651	0.215942	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.116119	0.0750561	0.191399	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0345417	0.161046	0.190276	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.124038	0.0865647	0.198477	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.112858	0.0918377	0.198503	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.114759	0.1078	0.213539	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.146291	0.0705629	0.215312	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.134454	0.088944	0.223515	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.100194	0.0902386	0.188237	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.106134	0.10003	0.19511	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0907864	0.12648	0.208827	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.150664	0.0698254	0.211248	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.148116	0.0528291	0.20256	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.1622	0.040517	0.209372	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.113952	0.0944327	0.206009	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0605961	0.124464	0.186653	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.104086	0.095931	0.195216	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0627987	0.151364	0.206461	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.122688	0.0874004	0.210058	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.128466	0.0847882	0.201814	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.156554	0.0574093	0.212026	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.128688	0.084048	0.208806	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.105356	0.0960311	0.194666	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.126896	0.0774923	0.19729	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0460141	0.12642	0.167642	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.156569	0.0621286	0.214944	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0963234	0.110076	0.207249	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0903783	0.129313	0.214471	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0823934	0.111232	0.188344	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.102477	0.0949359	0.209007	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.162306	0.0151632	0.192862	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0568573	0.140603	0.202273	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.111955	0.0978623	0.198079	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.12863	0.0874109	0.207243	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.151933	0.0535861	0.199953	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.172508	0.0507715	0.227211	isolation_0.4_0.1_0.2	0.2	0.1	ABC
