aw	as	a	gamNeg	shape	analysis	b	w	method
0.0319542	0.195873	0.221487	380.798	0.14833	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0969514	0.149595	0.232834	820.802	0.152154	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.142809	0.12676	0.266349	405.751	0.161501	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0600532	0.185856	0.241057	365.502	0.155692	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.156859	0.123495	0.258748	745.695	0.159937	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0517809	0.193781	0.239359	371.323	0.156836	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0990389	0.144777	0.230221	482.966	0.149601	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0446811	0.1808	0.211919	760.014	0.148566	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0275333	0.203021	0.217955	384.598	0.148429	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0982843	0.146872	0.235057	755.766	0.151013	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.109439	0.131096	0.229298	804.528	0.147931	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0035366	0.200004	0.208557	361.404	0.149331	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0576204	0.183339	0.235111	685.882	0.151876	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0423555	0.178296	0.220087	752.056	0.147367	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0516225	0.181344	0.222286	791.067	0.149841	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0843543	0.155983	0.234348	500.635	0.152071	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.100015	0.159303	0.246129	581.975	0.157823	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0706901	0.17001	0.229825	373.569	0.152138	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.065687	0.16994	0.226125	739.731	0.150307	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.114148	0.138087	0.233683	739.934	0.151321	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0994433	0.155415	0.232982	642.822	0.152022	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.112643	0.146873	0.254138	519.023	0.157488	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.147641	0.126851	0.255384	413.864	0.158177	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.138735	0.11655	0.246158	757.727	0.1568	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0661569	0.188777	0.243041	347.195	0.161628	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.103008	0.1561	0.23848	328.908	0.158016	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.122594	0.145542	0.247503	574.726	0.157377	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.100616	0.144661	0.236081	748.645	0.153434	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.123374	0.132016	0.241334	749.384	0.15887	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0857257	0.1627	0.238534	796.44	0.153747	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0819194	0.152242	0.226857	443.044	0.148517	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.109149	0.143262	0.240667	786.037	0.156177	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0967582	0.146315	0.226145	373.745	0.148302	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0583154	0.168564	0.229529	711.297	0.150325	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0877298	0.157968	0.230854	571.261	0.153726	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0658792	0.186383	0.237159	432.063	0.154631	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.121501	0.114564	0.243396	720.104	0.154244	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0100585	0.220103	0.224889	355.397	0.150891	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0840021	0.158137	0.22001	407.584	0.148193	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.137027	0.138713	0.24979	764.066	0.154876	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.151523	0.114392	0.245164	395.427	0.156052	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0858028	0.163904	0.236639	378.978	0.153569	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0636197	0.177804	0.237793	374.662	0.156632	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.00541751	0.242365	0.237802	340.301	0.15733	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0825794	0.170987	0.246401	758.929	0.159926	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.103121	0.151296	0.242022	777.319	0.158191	isolation_0.4_0.1_0.2	0.2	0.1	ABC
