analysis	w	b	aw	as	a	delta aw	delta as	delta a
isolation_0.4_0.1_0.2	0.1	0.2	0.03 [-0.012-0.069]	0.204 [0.172-0.235]	0.225 [0.211-0.238]	0.007	0.032	0.016
isolation_0.4_0.1_0.4	0.1	0.4	0.189 [0.15-0.23]	0.084 [0.065-0.106]	0.259 [0.235-0.286]	0.017	0.005	0.008
isolation_0.4_0.1_0.8	0.1	0.8	0.142 [0.103-0.181]	0.261 [0.231-0.289]	0.395 [0.385-0.407]	0.066	0.022	0.036
isolation_0.4_0.1_0.999	0.1	0.999	0.169 [0.133-0.207]	0.285 [0.258-0.314]	0.449 [0.436-0.462]	0.084	0.02	0.059
isolation_0.4_0.2_0.2	0.2	0.2	0.071 [0.029-0.108]	0.145 [0.116-0.18]	0.205 [0.191-0.219]	0.004	0.029	0.013
isolation_0.4_0.2_0.4	0.2	0.4	0.139 [0.088-0.184]	0.17 [0.142-0.202]	0.295 [0.277-0.311]	0.028	0.015	0.03
isolation_0.4_0.2_0.8	0.2	0.8	0.222 [0.175-0.265]	0.18 [0.151-0.21]	0.388 [0.373-0.407]	0.064	0.014	0.037
isolation_0.4_0.2_0.999	0.2	0.999	0.21 [0.173-0.247]	0.21 [0.185-0.236]	0.41 [0.396-0.423]	0.035	0.003	0.029
isolation_0.4_0.3_0.2	0.3	0.2	0.08 [0.055-0.104]	0.095 [0.073-0.115]	0.168 [0.153-0.184]	0.036	0.035	0.009
isolation_0.4_0.3_0.4	0.3	0.4	0.246 [0.209-0.285]	0.082 [0.064-0.101]	0.312 [0.286-0.337]	0.075	0.004	0.063
isolation_0.4_0.3_0.8	0.3	0.8	0.279 [0.246-0.32]	0.114 [0.097-0.132]	0.377 [0.358-0.395]	0.037	0.015	0.035
isolation_0.4_0.3_0.999	0.3	0.999	0.29 [0.26-0.324]	0.135 [0.114-0.155]	0.408 [0.39-0.428]	0.034	0.028	0.044
