method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0161818	0.203663	0.215348	396.611	0.146933
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0606161	0.18166	0.229341	383.116	0.150524
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0793544	0.179165	0.246289	783.508	0.153608
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0266276	0.213444	0.232223	370.759	0.152548
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0468694	0.192419	0.233974	448.712	0.152094
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0197723	0.221248	0.228728	388.671	0.15028
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0473335	0.172805	0.219692	425.874	0.146212
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0121572	0.232024	0.210567	348.124	0.147572
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0045417	0.226861	0.220381	361.78	0.149383
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0309983	0.190099	0.220846	352.051	0.14838
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.043731	0.17152	0.210164	815.267	0.142886
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0124239	0.228612	0.200356	364.172	0.144836
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0512678	0.195329	0.235069	442.595	0.152319
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0165912	0.201947	0.213695	746.195	0.147449
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0118878	0.22582	0.203248	771.465	0.143209
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0241341	0.196683	0.212734	396.153	0.145222
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0181478	0.22019	0.228471	383.182	0.152609
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0199941	0.216551	0.223456	413.105	0.152291
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00285352	0.226333	0.221749	760.784	0.150912
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0548513	0.181476	0.221335	398.272	0.147801
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0333387	0.194311	0.221362	393.025	0.149512
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0799928	0.171896	0.245505	578.678	0.154748
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0858252	0.16882	0.23924	763.14	0.154347
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0590015	0.191376	0.230007	394.652	0.153137
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0195921	0.217432	0.232	384.767	0.15915
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0268104	0.198003	0.223958	758.403	0.15162
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0375359	0.191984	0.229503	407.785	0.149515
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0443919	0.187832	0.224	386.337	0.150134
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0548877	0.178391	0.227796	376.481	0.154899
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0026762	0.221707	0.22045	397.919	0.146531
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0224877	0.200409	0.220301	426.231	0.14808
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0619196	0.173164	0.23246	804.359	0.153049
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0309238	0.199354	0.214235	763.712	0.147566
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0367619	0.187728	0.21746	366.397	0.146524
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0129408	0.216902	0.217732	334.816	0.150484
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0131677	0.241544	0.226775	363.398	0.153072
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.048337	0.188534	0.2243	774.905	0.147486
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.036233	0.256573	0.223546	361.635	0.149665
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0236967	0.194504	0.207767	752.963	0.145921
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0354254	0.203334	0.232599	747.089	0.151594
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0684505	0.175488	0.236106	377.302	0.153571
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0230654	0.21275	0.226079	370.158	0.151499
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00306995	0.230697	0.223792	363.002	0.151775
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0517217	0.287004	0.231423	362.67	0.156291
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0234407	0.212943	0.224664	763.877	0.15297
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0642966	0.182841	0.234225	656.807	0.155297
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00107198	0.240748	0.233305	366.334	0.153266
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0187183	0.223085	0.204603	392.927	0.143233
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.028434	0.222023	0.229956	752.327	0.154513
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0141909	0.229836	0.211905	318.346	0.147629
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0181195	0.244581	0.217481	381.258	0.149704
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0423608	0.180867	0.218076	393.685	0.145837
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0527954	0.18747	0.237933	381.203	0.155015
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0121627	0.240059	0.229459	776.081	0.148
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0387973	0.197465	0.218619	389.561	0.148127
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0311339	0.244873	0.21071	383.853	0.145032
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0297076	0.193299	0.220354	396.795	0.14882
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0315689	0.200773	0.220977	397.169	0.149246
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0242303	0.22147	0.232964	672.939	0.153834
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0911732	0.172519	0.243881	762.649	0.155092
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0551623	0.202086	0.249817	378.787	0.160575
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0271688	0.209667	0.207753	767.838	0.141255
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00997874	0.222375	0.226621	343.457	0.152493
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0181378	0.212209	0.227988	337.54	0.153472
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0603933	0.190473	0.233663	410.086	0.153191
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0554823	0.179615	0.227823	654.422	0.153804
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.054953	0.188791	0.226475	403.415	0.152089
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0386302	0.1973	0.227435	368.642	0.15147
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0180047	0.245388	0.214542	358.575	0.151479
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0240458	0.195177	0.21101	795.317	0.146061
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0126673	0.24822	0.218598	363.562	0.150862
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0681859	0.186143	0.237053	388.622	0.15274
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0201935	0.211817	0.227197	367.783	0.154531
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0764088	0.160568	0.234106	409.912	0.150114
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0731966	0.173023	0.227221	384.776	0.152531
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00917982	0.211749	0.21644	371.115	0.144259
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0639615	0.173209	0.216526	381.168	0.150883
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0113661	0.201261	0.182751	387.332	0.136266
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0537456	0.186248	0.233864	367.101	0.150711
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0281564	0.211008	0.227125	374.475	0.154314
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00270931	0.248567	0.23355	746.629	0.156448
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00138893	0.217312	0.212979	356.193	0.149411
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00336898	0.232266	0.232929	389.407	0.157783
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0907639	0.13579	0.215372	725.865	0.146153
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00626649	0.223072	0.221607	384.458	0.14995
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0235385	0.202165	0.217095	360.329	0.14701
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.00592012	0.232972	0.224248	641.156	0.152736
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0654454	0.172317	0.220222	798.184	0.145667
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0966306	0.162297	0.250783	769.796	0.163798
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0611546	0.202424	0.239158	402.573	0.157369
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0198155	0.223705	0.228347	381.966	0.152065
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.00385479	0.219518	0.201166	392.858	0.142726
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0433054	0.169175	0.204081	415.655	0.140913
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0281296	0.200326	0.213587	373.848	0.148927
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.106657	0.150752	0.250166	414.506	0.154351
