method	w	b	analysis	aw	as	a
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0161818	0.203663	0.215348
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0606161	0.18166	0.229341
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0793544	0.179165	0.246289
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0266276	0.213444	0.232223
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0468694	0.192419	0.233974
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0197723	0.221248	0.228728
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0473335	0.172805	0.219692
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0121572	0.232024	0.210567
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0045417	0.226861	0.220381
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0309983	0.190099	0.220846
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.043731	0.17152	0.210164
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0124239	0.228612	0.200356
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0512678	0.195329	0.235069
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0165912	0.201947	0.213695
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0118878	0.22582	0.203248
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0241341	0.196683	0.212734
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0181478	0.22019	0.228471
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0199941	0.216551	0.223456
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00285352	0.226333	0.221749
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0548513	0.181476	0.221335
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0333387	0.194311	0.221362
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0799928	0.171896	0.245505
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0858252	0.16882	0.23924
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0590015	0.191376	0.230007
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0195921	0.217432	0.232
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0268104	0.198003	0.223958
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0375359	0.191984	0.229503
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0443919	0.187832	0.224
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0548877	0.178391	0.227796
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0026762	0.221707	0.22045
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0224877	0.200409	0.220301
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0619196	0.173164	0.23246
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0309238	0.199354	0.214235
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0367619	0.187728	0.21746
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0129408	0.216902	0.217732
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0131677	0.241544	0.226775
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.048337	0.188534	0.2243
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.036233	0.256573	0.223546
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0236967	0.194504	0.207767
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0354254	0.203334	0.232599
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0684505	0.175488	0.236106
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0230654	0.21275	0.226079
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00306995	0.230697	0.223792
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0517217	0.287004	0.231423
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0234407	0.212943	0.224664
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0642966	0.182841	0.234225
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00107198	0.240748	0.233305
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0187183	0.223085	0.204603
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.028434	0.222023	0.229956
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0141909	0.229836	0.211905
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0181195	0.244581	0.217481
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0423608	0.180867	0.218076
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0527954	0.18747	0.237933
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0121627	0.240059	0.229459
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0387973	0.197465	0.218619
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0311339	0.244873	0.21071
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0297076	0.193299	0.220354
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0315689	0.200773	0.220977
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0242303	0.22147	0.232964
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0911732	0.172519	0.243881
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0551623	0.202086	0.249817
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0271688	0.209667	0.207753
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.00997874	0.222375	0.226621
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0181378	0.212209	0.227988
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0603933	0.190473	0.233663
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0554823	0.179615	0.227823
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.054953	0.188791	0.226475
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0386302	0.1973	0.227435
ABC	0.1	0.2	isolation_0.4_0.1_0.2	-0.0180047	0.245388	0.214542
ABC	0.1	0.2	isolation_0.4_0.1_0.2	0.0240458	0.195177	0.21101
