aw	as	a	gamNeg	shape	analysis	b	w	method
0.103395	0.0821478	0.180614	426.441	0.169094	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0938062	0.0833941	0.183073	880.524	0.166226	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0619969	0.110992	0.177857	419.512	0.169992	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.098741	0.0903696	0.176645	460.325	0.164491	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0808577	0.0932067	0.176725	626.996	0.168597	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0830234	0.108283	0.193506	515.992	0.178446	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0945392	0.0852492	0.177692	840.536	0.168356	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0925798	0.0887621	0.18055	453.245	0.170907	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.107672	0.0807911	0.188588	474.475	0.173022	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.10414	0.0714161	0.167349	805.988	0.167311	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0880138	0.120075	0.193907	462.452	0.173569	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.10599	0.0697464	0.177219	449.991	0.169467	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0847856	0.0864645	0.177281	499.74	0.166314	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0801887	0.0855296	0.164036	491.624	0.162171	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.126136	0.0843392	0.199222	860.958	0.175223	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0898227	0.119298	0.214989	645.54	0.1805	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.108557	0.0811542	0.18669	831.046	0.170311	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0669411	0.118014	0.183811	450.574	0.172166	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.112725	0.083211	0.193832	462.044	0.170815	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.131174	0.0685115	0.195706	518.565	0.172968	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0748968	0.117466	0.192034	836.717	0.17351	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0748075	0.105802	0.177149	875.26	0.168748	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0841594	0.081783	0.168782	819.477	0.164179	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.138819	0.0872815	0.208829	462.521	0.174232	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0457606	0.135448	0.183313	468.852	0.170282	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0551463	0.135205	0.189846	427.393	0.171517	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0364177	0.121031	0.164622	480.572	0.163114	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.104119	0.0725585	0.171259	435.637	0.168345	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0282398	0.147683	0.176026	458.054	0.168291	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.117021	0.0665192	0.188615	475.08	0.172315	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0467262	0.143781	0.18745	759.701	0.172374	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0978696	0.0970505	0.19479	409.208	0.177412	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0949302	0.109278	0.205471	705.719	0.175487	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.067625	0.119308	0.181535	656.699	0.169932	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.116292	0.0710162	0.18165	498.301	0.165409	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.105734	0.104913	0.204389	474.205	0.173917	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.117082	0.0747851	0.187461	840.235	0.167499	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.14284	0.0521852	0.18992	506.827	0.171256	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0488949	0.127426	0.176133	477.079	0.168379	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.147944	0.0454079	0.195791	814.015	0.170007	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0744236	0.121479	0.195757	464.173	0.173169	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.118686	0.10829	0.214698	456.526	0.177635	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.126444	0.0581862	0.172771	856.131	0.167907	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.148866	0.056344	0.201688	477.159	0.174556	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.111941	0.0919158	0.193434	689.008	0.17272	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.123853	0.0608306	0.179482	865.473	0.166962	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0773618	0.126391	0.19929	439.157	0.176927	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0880322	0.091217	0.176538	431.819	0.167648	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0753439	0.0874261	0.159433	469.567	0.161092	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0487798	0.126866	0.17196	818.186	0.163742	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0955852	0.0777549	0.171346	431.111	0.167511	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0752752	0.0960177	0.171628	837.525	0.165093	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0592266	0.129888	0.19	422.411	0.17366	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0877178	0.103052	0.191086	427.089	0.173367	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.103877	0.0992443	0.200329	418.877	0.175708	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0876417	0.0931316	0.177487	450.884	0.165914	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0602943	0.113678	0.167065	394.941	0.167782	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.0791034	0.111375	0.189949	795.491	0.171464	noDemog_0.4_0.1_0.2	0.2	0.1	abc
0.126938	0.0727182	0.201435	460.967	0.1774	noDemog_0.4_0.1_0.2	0.2	0.1	abc
