analysis	w	b	aw	as	a	delta aw	delta as	delta a
noDemog_0.4_0.1_0.2	0.1	0.2	0.095 [0.065-0.123]	0.117 [0.092-0.141]	0.203 [0.187-0.222]	0.062	0.043	0.009
noDemog_0.4_0.1_0.4	0.1	0.4	0.089 [0.052-0.13]	0.198 [0.173-0.229]	0.276 [0.259-0.292]	0.04	0.026	0.003
noDemog_0.4_0.1_0.8	0.1	0.8	0.095 [0.057-0.14]	0.289 [0.26-0.317]	0.38 [0.368-0.391]	0.024	0.009	0.011
noDemog_0.4_0.1_0.999	0.1	0.999	0.084 [0.05-0.121]	0.331 [0.303-0.36]	0.413 [0.403-0.424]	0.006	0.008	0.012
noDemog_0.4_0.2_0.2	0.2	0.2	0.094 [0.065-0.125]	0.103 [0.087-0.121]	0.189 [0.173-0.207]	0.026	0.006	0.012
noDemog_0.4_0.2_0.4	0.2	0.4	0.182 [0.142-0.218]	0.114 [0.093-0.141]	0.283 [0.264-0.304]	0.08	0.039	0.027
noDemog_0.4_0.2_0.8	0.2	0.8	0.162 [0.125-0.2]	0.205 [0.175-0.228]	0.358 [0.345-0.371]	0.015	0.001	0.006
noDemog_0.4_0.2_0.999	0.2	0.999	0.153 [0.113-0.189]	0.239 [0.209-0.271]	0.387 [0.377-0.399]	0.01	0.016	0.001
noDemog_0.4_0.3_0.2	0.3	0.2	0.074 [0.054-0.094]	0.067 [0.046-0.084]	0.133 [0.117-0.15]	0.031	0.011	0.028
noDemog_0.4_0.3_0.4	0.3	0.4	0.138 [0.104-0.175]	0.101 [0.084-0.119]	0.224 [0.204-0.243]	0.021	0.021	0.013
noDemog_0.4_0.3_0.8	0.3	0.8	0.239 [0.204-0.277]	0.136 [0.115-0.16]	0.36 [0.342-0.377]	0.01	0.029	0.025
noDemog_0.4_0.3_0.999	0.3	0.999	0.231 [0.195-0.273]	0.154 [0.129-0.177]	0.375 [0.36-0.39]	0.024	0.039	0.005
