method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.086899	0.115644	0.189326	830.323	0.171493
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0914739	0.118831	0.198657	444.0	0.171827
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.056597	0.138232	0.187695	769.356	0.173952
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0787079	0.117856	0.192659	820.951	0.171144
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0702511	0.118282	0.186526	832.955	0.171108
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.106374	0.106954	0.208332	418.588	0.183734
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0829071	0.108819	0.186202	830.329	0.171463
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.11685	0.102536	0.203209	472.984	0.177522
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0857967	0.125139	0.201812	802.971	0.176365
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.100298	0.0944466	0.185981	457.656	0.171964
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0980554	0.124918	0.212681	783.874	0.18096
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.10092	0.0920468	0.190268	784.892	0.173297
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.108764	0.0970892	0.195238	863.194	0.173125
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0849963	0.113396	0.1853	415.326	0.166937
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0998178	0.11927	0.210315	846.465	0.181447
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.100499	0.1344	0.225093	417.176	0.183769
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.101293	0.107841	0.199725	452.832	0.174902
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.067902	0.138354	0.198943	564.506	0.177608
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.123117	0.117181	0.21216	834.679	0.176727
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.116083	0.105334	0.208762	805.586	0.177764
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0750498	0.133908	0.20586	431.217	0.177257
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.106544	0.108635	0.202434	448.059	0.178978
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.078308	0.11661	0.187556	854.321	0.170166
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0784745	0.140519	0.205214	787.361	0.176098
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0456125	0.145941	0.191227	428.062	0.174097
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0670319	0.143718	0.20074	532.135	0.176549
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.062912	0.12658	0.175908	512.175	0.169196
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0999311	0.0900108	0.187019	821.082	0.173771
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0479107	0.152505	0.193693	472.751	0.174511
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.12956	0.0902068	0.214392	860.624	0.179403
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0680392	0.146974	0.20181	835.081	0.17724
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.103169	0.12108	0.210517	418.056	0.182402
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0797357	0.136502	0.21184	794.97	0.177696
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0854727	0.118943	0.200437	805.853	0.175578
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.121637	0.0917379	0.21145	813.172	0.175669
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.121922	0.115529	0.21861	423.345	0.180214
