method	w	b	analysis	aw	as	a
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.086899	0.115644	0.189326
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0914739	0.118831	0.198657
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.056597	0.138232	0.187695
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0787079	0.117856	0.192659
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0702511	0.118282	0.186526
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.106374	0.106954	0.208332
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0829071	0.108819	0.186202
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.11685	0.102536	0.203209
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0857967	0.125139	0.201812
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.100298	0.0944466	0.185981
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0980554	0.124918	0.212681
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.10092	0.0920468	0.190268
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.108764	0.0970892	0.195238
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0849963	0.113396	0.1853
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0998178	0.11927	0.210315
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.100499	0.1344	0.225093
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.101293	0.107841	0.199725
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.067902	0.138354	0.198943
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.123117	0.117181	0.21216
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.116083	0.105334	0.208762
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0750498	0.133908	0.20586
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.106544	0.108635	0.202434
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.078308	0.11661	0.187556
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0784745	0.140519	0.205214
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0456125	0.145941	0.191227
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0670319	0.143718	0.20074
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.062912	0.12658	0.175908
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0999311	0.0900108	0.187019
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0479107	0.152505	0.193693
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.12956	0.0902068	0.214392
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0680392	0.146974	0.20181
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.103169	0.12108	0.210517
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0797357	0.136502	0.21184
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0854727	0.118943	0.200437
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.121637	0.0917379	0.21145
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.121922	0.115529	0.21861
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.107163	0.113588	0.210003
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.1228	0.0914775	0.197953
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0602063	0.131762	0.19363
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.110557	0.106658	0.205642
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.116331	0.11377	0.213266
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.112987	0.134033	0.234114
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.103248	0.0884995	0.186594
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.153028	0.087282	0.222444
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0817219	0.115782	0.195562
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.10534	0.0942688	0.198026
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0719864	0.14084	0.210498
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.113446	0.100445	0.200578
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0823749	0.104556	0.178318
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0841796	0.120966	0.195534
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.087609	0.110485	0.189385
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0912749	0.104435	0.182777
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0550812	0.154024	0.199868
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.090453	0.131581	0.205017
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.111269	0.12505	0.215581
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0914081	0.109531	0.197653
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0655071	0.124184	0.182711
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.103856	0.119279	0.211476
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.118992	0.0992181	0.215538
