aw	as	a	gamNeg	shape
0.060471	0.16645	0.236398	424.592	0.203686
0.0713457	0.06863	0.175078	413.428	0.161497
0.101364	0.124438	0.227107	747.723	0.190694
0.0840737	0.0875971	0.183353	402.544	0.186628
0.01854	0.213158	0.241163	395.711	0.198487
0.0443927	0.119937	0.175072	598.607	0.191047
0.136024	0.17169	0.305436	399.651	0.221383
0.0394875	0.126608	0.193822	370.356	0.184764
0.104048	0.0933921	0.220822	513.309	0.194802
0.0355306	0.148177	0.186001	414.231	0.186507
0.0903047	0.0813619	0.186115	420.04	0.18017
0.0329821	0.1964	0.249184	367.876	0.19922
0.050421	0.128223	0.199863	445.78	0.18913
0.0316082	0.235502	0.27466	464.089	0.207521
0.0633305	0.161738	0.224422	806.881	0.196974
0.130079	0.118104	0.226875	715.373	0.188946
0.091222	0.0818266	0.17333	822.289	0.182626
0.0571877	0.153153	0.221046	393.986	0.192503
0.0821595	0.104386	0.19992	823.547	0.183725
0.05147	0.186557	0.242852	745.065	0.202305
0.0775006	0.117878	0.200104	780.526	0.179805
0.00652321	0.234462	0.262857	383.645	0.2033
0.0826161	0.135229	0.221247	772.198	0.185779
0.023092	0.196673	0.228506	447.52	0.189966
0.0347343	0.0834574	0.132526	795.893	0.172559
0.0254395	0.187706	0.218988	415.689	0.199637
0.032314	0.163692	0.207994	434.347	0.192392
0.0539368	0.231012	0.276949	362.774	0.205885
0.0382034	0.0832635	0.141649	805.254	0.162871
0.105006	0.0860656	0.197286	782.112	0.187913
0.0569673	0.0956623	0.1638	405.147	0.178546
0.0491615	0.0895825	0.163093	419.708	0.164785
0.0799105	0.115679	0.205727	427.182	0.185974
0.0271715	0.13392	0.182481	730.462	0.185828
0.0501377	0.227987	0.274094	376.5	0.224596
0.0275505	0.11577	0.170226	750.132	0.175364
0.0731363	0.12392	0.198745	782.396	0.18289
0.0595994	0.137325	0.198614	403.268	0.186258
0.0209745	0.202251	0.213294	463.696	0.197496
0.0999115	0.158637	0.267657	811.295	0.215597
0.0595141	0.206236	0.275359	409.774	0.197254
0.0706225	0.0716267	0.175676	544.687	0.171753
0.0909198	0.129772	0.22621	417.186	0.183846
-0.00970665	0.248659	0.243216	396.969	0.207881
0.0567648	0.054465	0.129371	828.133	0.16088
0.0433283	0.109054	0.169608	412.503	0.175734
0.050369	0.142402	0.205014	416.63	0.19011
0.0490779	0.0927074	0.162083	832.481	0.181848
0.00701985	0.198897	0.217128	406.582	0.199487
0.0787267	0.09066	0.170837	448.791	0.169875
0.0432597	0.160315	0.22213	824.093	0.200602
0.0504973	0.0797362	0.152254	428.53	0.166589
0.0626303	0.0836596	0.163135	540.314	0.166409
0.0420591	0.200235	0.255871	455.926	0.191876
0.0612455	0.135092	0.208962	805.64	0.193664
0.0438118	0.121427	0.17881	362.018	0.182179
0.0161596	0.16316	0.18601	394.233	0.18418
0.0795426	0.102253	0.187124	799.104	0.183056
0.0787407	0.109857	0.218688	724.803	0.190927
0.0418692	0.0833986	0.124266	835.486	0.171907
0.0306493	0.0824827	0.134768	395.149	0.159484
0.0521664	0.113198	0.18945	420.265	0.181595
0.0453029	0.116793	0.17339	404.217	0.185967
0.0183808	0.223586	0.259136	393.682	0.217161
0.0344467	0.139626	0.17804	754.438	0.192035
0.0606097	0.143546	0.208732	757.358	0.177639
0.0477078	0.125657	0.188587	695.993	0.184663
0.0925393	0.0571147	0.154679	450.902	0.174478
0.0346429	0.209425	0.238885	412.405	0.215496
0.0985793	0.101506	0.209821	409.469	0.188566
0.0619618	0.0846786	0.163793	639.777	0.161471
0.0634449	0.0671441	0.156348	416.127	0.179766
0.0288594	0.121018	0.161643	828.345	0.164888
0.117174	0.129335	0.241168	774.66	0.197386
0.059602	0.0630164	0.148745	812.684	0.171123
0.0491498	0.100772	0.164576	783.959	0.169863
0.0139584	0.135012	0.146835	419.264	0.173258
0.0936291	0.125025	0.226774	407.749	0.192641
0.132526	0.135926	0.276037	425.546	0.20834
0.0714598	0.170248	0.25629	751.377	0.207965
0.0668265	0.0971661	0.170688	739.875	0.181611
0.0523831	0.129924	0.195561	432.869	0.183339
0.145658	0.0968681	0.237384	420.366	0.198076
0.080864	0.0844028	0.19434	772.03	0.178674
0.0618624	0.109132	0.189459	417.789	0.183589
0.0785665	0.190618	0.279123	410.842	0.221594
0.0261398	0.216813	0.250332	412.556	0.203995
0.0827532	0.14224	0.236223	774.652	0.192956
0.0794621	0.159548	0.249994	409.124	0.195089
0.0309183	0.106104	0.148143	478.144	0.179017
0.0238287	0.0922668	0.138262	758.263	0.17362
0.108891	0.070983	0.199538	773.611	0.18214
0.0323018	0.141473	0.181038	446.174	0.186859
0.00957648	0.176047	0.200547	341.61	0.188864
0.0921996	0.12404	0.215202	393.309	0.182577
0.0754153	0.146853	0.222025	418.383	0.201084
0.10037	0.150818	0.261131	380.391	0.207338
0.091047	0.111933	0.207944	551.537	0.177947
0.0916093	0.0590562	0.172453	846.629	0.175774
0.0573278	0.21805	0.291305	396.44	0.220434
