analysis	aw	as	a	gam_neg	shape
HBV	0.158[0.002-0.412]	0.361 [0.137-0.545]	0.519 [0.371-0.683]	1096.771 [299.389-1914.741]	0.264 [0.193-0.346]
ZIKAV	0.169[0.02-0.395]	0.305 [0.108-0.48]	0.473 [0.336-0.629]	1129.41 [316.371-1946.389]	0.247 [0.187-0.316]
HIV	0.279[0.15-0.439]	0.161 [0.054-0.282]	0.441 [0.335-0.579]	1140.268 [334.857-1923.088]	0.255 [0.217-0.305]
DENV	0.194[0.049-0.404]	0.23 [0.082-0.385]	0.425 [0.29-0.59]	1124.398 [318.678-1927.029]	0.246 [0.195-0.312]
IAV	0.173[0.027-0.352]	0.24 [0.095-0.367]	0.412 [0.322-0.535]	1124.425 [336.689-1945.341]	0.245 [0.204-0.3]
HCV	0.153[0.003-0.354]	0.231 [0.077-0.376]	0.384 [0.264-0.528]	1129.851 [338.293-1940.934]	0.243 [0.193-0.304]
HPV	0.093[-0.055-0.277]	0.284 [0.128-0.42]	0.377 [0.277-0.497]	1086.891 [283.413-1905.39]	0.253 [0.207-0.313]
ADV	0.123[-0.022-0.336]	0.188 [0.033-0.373]	0.31 [0.138-0.515]	1071.872 [286.282-1903.529]	0.258 [0.191-0.344]
HSV	0.18[0.061-0.367]	0.131 [0.045-0.256]	0.311 [0.173-0.521]	1108.016 [321.922-1914.785]	0.204 [0.156-0.265]
EBV	0.142[0.015-0.305]	0.166 [0.053-0.282]	0.308 [0.2-0.454]	1086.842 [283.302-1903.12]	0.231 [0.19-0.282]
VACV	0.134[0.014-0.309]	0.169 [0.051-0.293]	0.303 [0.179-0.463]	1110.55 [310.027-1907.978]	0.177 [0.133-0.23]
RNA VIPs	0.14[0.032-0.284]	0.138 [0.035-0.236]	0.278 [0.193-0.398]	1083.545 [275.333-1894.373]	0.191 [0.159-0.232]
KSHV	0.153[0.048-0.323]	0.124 [0.046-0.234]	0.278 [0.161-0.465]	1128.616 [331.291-1931.725]	0.235 [0.193-0.292]
All VIPs	0.116[0.011-0.241]	0.158 [0.065-0.243]	0.274 [0.205-0.37]	1102.848 [318.953-1931.502]	0.198 [0.17-0.233]
COV	0.131[0.035-0.291]	0.119 [0.035-0.238]	0.25 [0.129-0.423]	1119.842 [329.671-1964.022]	0.221 [0.176-0.275]
HTLV	0.134[0.025-0.356]	0.097 [0.014-0.245]	0.231 [0.08-0.508]	1061.632 [269.236-1886.992]	0.203 [0.141-0.282]
WNV	0.102[0.004-0.261]	0.118 [0.018-0.256]	0.22 [0.083-0.406]	1078.372 [281.556-1895.188]	0.197 [0.147-0.257]
DNA VIPs	0.098[0.003-0.233]	0.119 [0.028-0.208]	0.217 [0.131-0.333]	1102.758 [315.112-1927.4]	0.187 [0.156-0.226]
EBOV	0.095[0.001-0.252]	0.099 [0.015-0.228]	0.194 [0.066-0.389]	1103.15 [297.627-1921.858]	0.22 [0.17-0.283]
