aw	as	a	gamNeg	shape
0.109983	0.162722	0.25369	434.368	0.191293
0.0532406	0.216479	0.262933	448.58	0.195289
0.133515	0.127639	0.250574	439.226	0.197913
0.0828914	0.163905	0.243099	350.302	0.194432
0.15741	0.121492	0.283078	451.306	0.194564
0.0727561	0.241894	0.309788	806.841	0.210803
0.123264	0.187765	0.290829	419.859	0.198753
-0.00483952	0.277404	0.270616	624.89	0.203503
0.0860744	0.159988	0.245381	368.336	0.19075
0.117231	0.136839	0.246172	762.621	0.191215
0.0287882	0.252602	0.284824	376.415	0.209422
0.0352875	0.212953	0.251837	391.414	0.187911
0.149507	0.140595	0.293761	447.703	0.208451
0.116629	0.194426	0.294532	408.613	0.206587
0.0430179	0.189321	0.237404	375.152	0.19138
0.149995	0.146097	0.288181	814.875	0.202642
0.141036	0.152778	0.27973	363.062	0.200782
0.0903868	0.182977	0.265085	432.647	0.188936
0.131447	0.140493	0.257791	684.926	0.192349
0.143553	0.122703	0.245063	476.36	0.18062
0.0826606	0.191683	0.269067	782.115	0.195971
0.203369	0.0896747	0.269339	762.45	0.19332
0.105476	0.197273	0.295569	777.474	0.209911
0.1775	0.0886525	0.271118	827.407	0.1939
0.186827	0.156249	0.308232	801.845	0.211557
0.1698	0.133903	0.281047	438.415	0.193193
0.194495	0.0715789	0.266341	812.032	0.194163
0.121662	0.183396	0.281625	400.088	0.197818
0.136162	0.126809	0.272947	396.302	0.201889
0.151683	0.133506	0.252944	417.875	0.19379
0.126198	0.155572	0.279725	427.177	0.2006
0.129365	0.150035	0.260416	336.325	0.194727
0.164022	0.142526	0.277414	727.627	0.208322
0.22532	0.0946637	0.290715	855.245	0.205954
0.0617469	0.240575	0.293954	387.012	0.212869
0.0391588	0.220412	0.270616	383.741	0.197375
0.115268	0.130571	0.242591	609.059	0.185656
0.199747	0.116817	0.319195	747.013	0.216164
0.114576	0.113769	0.222991	414.376	0.181605
0.193732	0.100724	0.290831	824.348	0.197235
0.193176	0.105749	0.284445	778.082	0.199946
0.0813117	0.185712	0.24427	389.476	0.194389
0.0758874	0.180528	0.258839	385.225	0.198774
0.132972	0.14041	0.261498	837.606	0.185686
0.0294083	0.234425	0.280742	355.681	0.202843
0.108003	0.156408	0.241859	407.633	0.193457
0.169526	0.0839356	0.246557	722.132	0.187482
-0.00254378	0.267452	0.262851	352.18	0.202307
0.0858994	0.141958	0.244763	695.458	0.181225
0.0976867	0.139385	0.228572	418.36	0.187109
0.10662	0.202404	0.283019	406.965	0.20377
0.0542962	0.231784	0.274197	372.128	0.202651
0.0883372	0.192605	0.267017	455.55	0.196675
0.0699853	0.174495	0.217954	337.289	0.18604
0.084887	0.184585	0.270291	462.052	0.197332
0.174266	0.106109	0.285018	434.758	0.204358
0.15743	0.14726	0.29705	736.532	0.207823
0.150549	0.134657	0.286493	577.227	0.209744
0.0284381	0.219638	0.251823	406.01	0.196388
0.0128548	0.249245	0.270826	417.222	0.206344
0.13146	0.137415	0.237086	723.899	0.193389
0.111154	0.163663	0.262823	430.094	0.198021
0.192355	0.0883068	0.268992	791.785	0.189278
0.0645585	0.170035	0.241756	389.652	0.186818
0.175767	0.137771	0.28439	421.055	0.205729
0.183556	0.127968	0.300618	819.564	0.209553
0.119868	0.136892	0.251685	488.971	0.187801
0.100717	0.185132	0.283503	368.788	0.199509
0.130973	0.138985	0.255422	430.863	0.187638
0.0623905	0.216851	0.274267	795.649	0.202111
0.108341	0.162938	0.261616	799.483	0.196133
0.0683043	0.206516	0.279014	406.874	0.201295
0.148757	0.164589	0.279	380.513	0.205013
0.0672947	0.218693	0.273183	434.447	0.200127
0.165365	0.126723	0.272477	409.532	0.200723
0.0990402	0.144276	0.261464	404.077	0.187822
0.0719584	0.140908	0.210654	389.311	0.175158
0.0919058	0.17348	0.258175	400.624	0.194554
0.0575917	0.198513	0.245129	413.816	0.186678
0.13386	0.166712	0.284978	791.092	0.203694
0.161057	0.167198	0.308987	755.78	0.20879
0.108066	0.16518	0.257608	390.952	0.192962
0.0819095	0.186381	0.278243	437.972	0.194871
0.050877	0.223158	0.277648	369.872	0.203926
0.10924	0.173974	0.283281	762.627	0.20492
0.0383362	0.202926	0.243281	576.497	0.189291
0.159796	0.114835	0.250022	783.281	0.196271
0.120347	0.120711	0.224316	777.954	0.182864
0.11432	0.20658	0.293731	427.208	0.208591
0.168001	0.0987091	0.250331	757.53	0.192401
0.0537683	0.18735	0.239443	416.147	0.186095
0.10656	0.146925	0.23427	423.458	0.187279
0.101845	0.145538	0.241222	748.346	0.188487
0.109515	0.0973334	0.209979	402.18	0.174624
0.09386	0.157707	0.230752	403.534	0.179354
0.1399	0.152676	0.288979	453.423	0.200833
0.0660617	0.181853	0.243609	412.316	0.191159
0.106964	0.205254	0.294864	419.427	0.208396
0.0782049	0.16948	0.237506	786.886	0.183265
0.138114	0.142251	0.285572	775.802	0.211767
