aw	as	a	gamNeg	shape
0.11436	0.0493688	0.156631	429.191	0.145169
0.111164	0.0590958	0.15933	442.185	0.144865
0.0911296	0.0655063	0.150027	444.087	0.136111
0.0740998	0.0752698	0.14835	794.433	0.143435
0.142382	0.0208646	0.162883	516.581	0.143655
0.0948454	0.0635591	0.157593	500.417	0.146248
0.0852347	0.0531832	0.14892	405.378	0.142434
0.0826722	0.066814	0.144301	898.852	0.136744
0.0764163	0.084344	0.154201	838.544	0.14145
0.0518524	0.0645487	0.119017	870.333	0.132487
0.114281	0.0333149	0.139529	808.313	0.139057
0.128147	0.0172778	0.140716	830.484	0.137586
0.121425	0.0283548	0.149797	403.23	0.141432
0.0950363	0.0615811	0.148293	776.397	0.14357
0.120368	0.0462715	0.161354	473.204	0.144326
0.134604	0.0238731	0.157562	696.08	0.140642
0.120266	0.0216965	0.145475	588.898	0.143061
0.0630056	0.0937184	0.144059	782.64	0.142118
0.0674384	0.0574641	0.119745	621.999	0.132721
0.0404849	0.118149	0.152809	446.293	0.144009
0.128842	0.0386083	0.152901	748.611	0.140112
0.0740525	0.0471725	0.118275	445.26	0.131692
0.0884764	0.0578727	0.150134	413.573	0.140958
0.0986242	0.0360339	0.128097	800.14	0.136383
0.152376	0.0322377	0.186336	817.904	0.15288
0.0557966	0.0731395	0.141187	460.344	0.140583
0.0971559	0.0533707	0.149576	595.959	0.14297
0.0931604	0.0323224	0.126023	442.554	0.132514
0.138192	0.0326242	0.168687	803.562	0.146492
0.0992235	0.0672768	0.159118	446.107	0.144761
0.156657	0.0161017	0.166483	829.188	0.145266
0.0886101	0.0417327	0.128681	707.981	0.140119
0.0878112	0.0682196	0.144843	847.673	0.140656
0.126759	0.0365272	0.153992	831.732	0.139658
0.0821269	0.0686556	0.150438	400.306	0.143009
0.0865973	0.0549759	0.133204	801.892	0.136666
0.132703	0.00197848	0.133524	583.136	0.131684
0.0975884	0.0256867	0.12233	816.879	0.131038
0.0948975	0.0452532	0.136261	780.459	0.141796
0.114248	0.0469345	0.145971	764.993	0.142898
0.0824538	0.0652336	0.13416	863.959	0.138558
0.170051	0.0115477	0.195588	796.835	0.152304
0.0699864	0.0645257	0.118605	414.176	0.132923
0.12013	0.0479663	0.159306	792.163	0.143575
0.116364	0.0205931	0.151273	853.69	0.137568
0.085962	0.0602885	0.142869	460.017	0.139239
0.159962	0.033557	0.176399	405.27	0.152762
0.149062	0.00232214	0.168166	841.892	0.14579
0.107782	0.0520478	0.148482	413.717	0.142841
0.176413	0.0217677	0.219502	749.859	0.160253
0.185508	0.0146573	0.205314	804.495	0.156101
0.150371	0.0270469	0.168569	727.481	0.14163
0.0862199	0.0781508	0.154705	826.341	0.139207
0.0869481	0.076925	0.150593	648.437	0.146533
0.130011	0.0405047	0.165717	850.094	0.146953
0.0576555	0.0726875	0.128757	413.882	0.136819
0.118494	0.0445238	0.152271	787.238	0.145451
0.102733	0.0380937	0.130646	751.66	0.134212
0.0968985	0.0494277	0.143386	460.291	0.139095
0.138998	0.0341809	0.168088	446.812	0.146255
0.101992	0.0916678	0.180932	781.8	0.153494
0.139282	0.0249677	0.153019	837.114	0.142563
0.157538	0.0361745	0.179327	862.907	0.146984
0.0992062	0.0444164	0.141205	429.6	0.142101
0.0983943	0.0450249	0.143496	880.692	0.137223
0.122799	0.041985	0.148872	802.816	0.144076
0.0567576	0.107983	0.160856	517.572	0.144277
0.129129	0.0366754	0.150607	848.724	0.144491
0.0992382	0.0551318	0.145769	867.324	0.143023
0.13166	0.0245281	0.160408	799.711	0.14422
0.156425	0.0121982	0.175101	860.758	0.150347
0.0500666	0.0956933	0.141411	765.765	0.140152
0.125703	0.0415383	0.163371	751.237	0.146686
0.100915	0.0544699	0.149218	818.493	0.141969
0.0946293	0.0565076	0.148962	776.822	0.14271
0.156652	0.0244435	0.168457	841.451	0.147942
0.12409	0.0217844	0.145829	818.54	0.143238
0.169011	0.00682588	0.169486	671.913	0.146324
0.101768	0.0677459	0.163122	836.811	0.147021
0.15191	0.0225565	0.162439	786.974	0.142889
0.11069	0.0503627	0.144604	423.204	0.142179
0.123097	0.023683	0.143146	466.552	0.137825
0.0578425	0.0872802	0.147194	546.371	0.14295
0.137044	0.0571484	0.172868	854.434	0.146111
0.0876235	0.0564338	0.133267	772.627	0.139542
0.0811554	0.0789835	0.145232	437.351	0.140626
0.103045	0.0491492	0.145842	879.194	0.140249
0.0966132	0.0786523	0.157063	847.487	0.144389
0.0523287	0.0970251	0.141552	411.38	0.141951
0.111741	0.0354752	0.13581	812.865	0.137366
0.0662218	0.0595472	0.133784	422.16	0.13415
0.137856	0.0372559	0.161074	835.718	0.144558
0.16001	0.0276014	0.174339	760.322	0.146728
0.100734	0.0384424	0.137812	748.398	0.135839
0.0969012	0.0598473	0.162726	413.318	0.145922
0.136763	0.0439466	0.170792	803.709	0.154145
0.162962	0.0140841	0.159173	887.142	0.141757
0.0990625	0.0143541	0.120539	489.477	0.12826
0.143835	0.0441004	0.170251	437.91	0.15104
0.167304	0.0372656	0.181653	461.35	0.147799
