α_weak	α_strong	α	gam_neg	shape	analysis	method
0.0393968	0.00955123	0.062319	410.68	0.157987	bt_moderate_0.4	abc_mk
0.0686974	0.00838995	0.0942524	674.267	0.156558	bt_moderate_0.4	abc_mk
0.0255504	0.010754	0.0515449	369.334	0.150909	bt_moderate_0.4	abc_mk
0.0499993	0.00908848	0.0673506	675.187	0.15499	bt_moderate_0.4	abc_mk
0.0231535	0.0137953	0.053705	458.397	0.159079	bt_moderate_0.4	abc_mk
0.0377415	0.00904379	0.0522895	410.173	0.157739	bt_moderate_0.4	abc_mk
0.0345153	0.0129044	0.0610268	401.685	0.153339	bt_moderate_0.4	abc_mk
0.0298948	0.0133564	0.0530029	651.0	0.151979	bt_moderate_0.4	abc_mk
0.0330556	0.00766144	0.0554172	531.804	0.159838	bt_moderate_0.4	abc_mk
0.0382775	0.0134116	0.0651663	626.331	0.161105	bt_moderate_0.4	abc_mk
0.0299722	0.00721711	0.0479605	495.929	0.162362	bt_moderate_0.4	abc_mk
0.0168363	0.0109609	0.0437596	500.815	0.159119	bt_moderate_0.4	abc_mk
0.0202382	0.0116954	0.0508781	412.355	0.145954	bt_moderate_0.4	abc_mk
0.0487998	0.0081259	0.0642423	628.879	0.152035	bt_moderate_0.4	abc_mk
0.054607	0.00738068	0.0740112	522.765	0.160118	bt_moderate_0.4	abc_mk
0.0601979	0.00799882	0.0772027	633.842	0.160064	bt_moderate_0.4	abc_mk
0.0412465	0.00915771	0.0607884	634.82	0.159044	bt_moderate_0.4	abc_mk
0.0426048	0.00948582	0.0661427	617.412	0.157881	bt_moderate_0.4	abc_mk
0.0356487	0.0085576	0.0565783	658.698	0.153358	bt_moderate_0.4	abc_mk
0.0643103	0.00920097	0.0837703	435.403	0.152239	bt_moderate_0.4	abc_mk
0.0356111	0.00898284	0.0544373	530.885	0.159129	bt_moderate_0.4	abc_mk
0.0762846	0.00859734	0.098443	642.727	0.156822	bt_moderate_0.4	abc_mk
0.0463003	0.00945183	0.0665979	439.318	0.155184	bt_moderate_0.4	abc_mk
0.0386064	0.00839903	0.0584749	682.631	0.159661	bt_moderate_0.4	abc_mk
0.0227354	0.00945099	0.0466482	418.8	0.15401	bt_moderate_0.4	abc_mk
0.035164	0.00900043	0.0516483	617.745	0.16599	bt_moderate_0.4	abc_mk
0.0425226	0.0104508	0.0711394	535.433	0.156922	bt_moderate_0.4	abc_mk
0.0547148	0.0102684	0.0745157	434.336	0.146171	bt_moderate_0.4	abc_mk
0.058436	0.00796433	0.077843	426.172	0.161353	bt_moderate_0.4	abc_mk
0.0373422	0.00852139	0.0598529	417.686	0.156378	bt_moderate_0.4	abc_mk
0.0404319	0.00981694	0.0656742	532.717	0.154913	bt_moderate_0.4	abc_mk
0.0354724	0.0100069	0.0617573	413.437	0.160124	bt_moderate_0.4	abc_mk
0.0598835	0.00966231	0.078069	439.159	0.158813	bt_moderate_0.4	abc_mk
0.0496205	0.0147388	0.0748606	678.723	0.153315	bt_moderate_0.4	abc_mk
0.0359968	0.0109065	0.0626507	426.113	0.14818	bt_moderate_0.4	abc_mk
0.0320375	0.0132893	0.056666	499.734	0.150121	bt_moderate_0.4	abc_mk
0.048072	0.00971807	0.0697168	699.798	0.164583	bt_moderate_0.4	abc_mk
0.0201975	0.0143144	0.0513296	421.262	0.168635	bt_moderate_0.4	abc_mk
0.0355493	0.010526	0.0622575	668.416	0.158382	bt_moderate_0.4	abc_mk
0.0310712	0.00866365	0.0552177	441.117	0.174851	bt_moderate_0.4	abc_mk
0.0361191	0.00923437	0.0542778	684.801	0.160627	bt_moderate_0.4	abc_mk
0.0394587	0.00974551	0.062078	598.504	0.160791	bt_moderate_0.4	abc_mk
0.0379653	0.00881662	0.0590084	645.786	0.159103	bt_moderate_0.4	abc_mk
0.0410961	0.00926203	0.0625597	585.846	0.152129	bt_moderate_0.4	abc_mk
0.0708327	0.00837548	0.0916472	580.393	0.158232	bt_moderate_0.4	abc_mk
0.0465489	0.00810565	0.0667573	451.076	0.161751	bt_moderate_0.4	abc_mk
0.0234911	0.00915648	0.0470837	676.382	0.165185	bt_moderate_0.4	abc_mk
0.0311988	0.00912091	0.0480602	417.194	0.142075	bt_moderate_0.4	abc_mk
0.0207757	0.00868401	0.0471032	433.781	0.158231	bt_moderate_0.4	abc_mk
0.0194468	0.00910191	0.0463495	341.439	0.16753	bt_moderate_0.4	abc_mk
0.026753	0.00834423	0.0481209	637.156	0.161475	bt_moderate_0.4	abc_mk
0.0190786	0.0138791	0.0482246	384.406	0.154447	bt_moderate_0.4	abc_mk
0.0202498	0.00837629	0.0446627	448.432	0.17029	bt_moderate_0.4	abc_mk
0.0216934	0.00849859	0.0479701	404.619	0.155885	bt_moderate_0.4	abc_mk
0.0387099	0.00692764	0.0527087	583.69	0.161962	bt_moderate_0.4	abc_mk
0.0217399	0.00969394	0.0468048	632.676	0.153008	bt_moderate_0.4	abc_mk
0.0222973	0.0098631	0.0476577	421.017	0.155632	bt_moderate_0.4	abc_mk
0.0364548	0.00926914	0.0542565	628.997	0.154192	bt_moderate_0.4	abc_mk
0.0674309	0.0088383	0.0902666	658.069	0.156138	bt_moderate_0.4	abc_mk
0.0324663	0.010307	0.0575541	421.842	0.165555	bt_moderate_0.4	abc_mk
0.0408326	0.0103667	0.0608755	394.671	0.153305	bt_moderate_0.4	abc_mk
0.0259444	0.00961898	0.0471569	444.478	0.150954	bt_moderate_0.4	abc_mk
0.018756	0.00997922	0.0417684	416.929	0.158759	bt_moderate_0.4	abc_mk
0.0315988	0.00787021	0.0494561	455.93	0.166976	bt_moderate_0.4	abc_mk
0.0216887	0.0103339	0.0493946	433.281	0.155435	bt_moderate_0.4	abc_mk
0.0454857	0.00897645	0.0688315	660.16	0.15464	bt_moderate_0.4	abc_mk
0.0507598	0.00922273	0.0718499	614.75	0.159624	bt_moderate_0.4	abc_mk
0.0354495	0.00988556	0.0622348	661.2	0.15634	bt_moderate_0.4	abc_mk
0.037843	0.0141404	0.0655866	646.539	0.151394	bt_moderate_0.4	abc_mk
0.0274506	0.00790368	0.0444921	411.267	0.157225	bt_moderate_0.4	abc_mk
0.0267122	0.00903223	0.0482573	411.558	0.156261	bt_moderate_0.4	abc_mk
0.0353712	0.0101003	0.0616716	419.151	0.151884	bt_moderate_0.4	abc_mk
0.0631049	0.00869141	0.0824944	548.388	0.152246	bt_moderate_0.4	abc_mk
0.0334442	0.00867081	0.0584016	538.911	0.156273	bt_moderate_0.4	abc_mk
0.0607133	0.00955965	0.0844308	528.367	0.15492	bt_moderate_0.4	abc_mk
0.0323589	0.00980698	0.0553298	414.119	0.161465	bt_moderate_0.4	abc_mk
0.0360487	0.0105823	0.0594813	633.346	0.155975	bt_moderate_0.4	abc_mk
0.0247644	0.0152193	0.0547077	507.095	0.158775	bt_moderate_0.4	abc_mk
0.0523101	0.0147807	0.0731448	426.252	0.159889	bt_moderate_0.4	abc_mk
0.0491824	0.00901498	0.0677609	427.444	0.15769	bt_moderate_0.4	abc_mk
0.0364726	0.00930844	0.0570171	395.912	0.164684	bt_moderate_0.4	abc_mk
0.0167796	0.0076916	0.037597	604.967	0.159322	bt_moderate_0.4	abc_mk
0.0388561	0.00973208	0.0608007	642.12	0.157982	bt_moderate_0.4	abc_mk
0.0203904	0.00944659	0.0454741	431.869	0.159914	bt_moderate_0.4	abc_mk
0.0410517	0.010094	0.062214	636.923	0.159077	bt_moderate_0.4	abc_mk
0.0698533	0.00824591	0.0852064	539.137	0.157094	bt_moderate_0.4	abc_mk
0.0544858	0.00995158	0.0747593	652.255	0.149926	bt_moderate_0.4	abc_mk
0.0411682	0.00914082	0.060772	417.699	0.153701	bt_moderate_0.4	abc_mk
0.041064	0.00967397	0.0635253	444.667	0.158415	bt_moderate_0.4	abc_mk
0.0168347	0.0107977	0.0441791	406.349	0.15658	bt_moderate_0.4	abc_mk
