method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.1	0.999	twoepochs_eq	0.111437	0.137256	0.237616	771.867	0.178403
ABC	0.1	0.999	twoepochs_eq	0.110492	0.129876	0.23848	779.249	0.178983
ABC	0.1	0.999	twoepochs_eq	0.179161	0.106834	0.271376	421.452	0.195263
ABC	0.1	0.999	twoepochs_eq	0.101906	0.14898	0.25346	432.899	0.194897
ABC	0.1	0.999	twoepochs_eq	0.096675	0.135163	0.21796	454.038	0.171523
ABC	0.1	0.999	twoepochs_eq	0.143551	0.11931	0.244427	746.736	0.181619
ABC	0.1	0.999	twoepochs_eq	0.102071	0.137757	0.24008	810.084	0.180207
ABC	0.1	0.999	twoepochs_eq	0.0678214	0.157365	0.227511	751.264	0.181607
ABC	0.1	0.999	twoepochs_eq	0.084924	0.137338	0.215366	747.738	0.171681
ABC	0.1	0.999	twoepochs_eq	0.0630505	0.153218	0.203826	444.991	0.173817
ABC	0.1	0.999	twoepochs_eq	0.0871251	0.154681	0.234273	419.775	0.182074
ABC	0.1	0.999	twoepochs_eq	0.167112	0.100227	0.259815	780.927	0.194519
ABC	0.1	0.999	twoepochs_eq	0.071114	0.135769	0.204929	457.095	0.165471
ABC	0.1	0.999	twoepochs_eq	0.148382	0.13347	0.266236	431.896	0.193195
ABC	0.1	0.999	twoepochs_eq	0.121898	0.142391	0.251208	771.533	0.190896
ABC	0.1	0.999	twoepochs_eq	0.0967398	0.1437	0.224259	661.643	0.174902
ABC	0.1	0.999	twoepochs_eq	0.0861405	0.133581	0.214932	792.27	0.173658
ABC	0.1	0.999	twoepochs_eq	0.0867985	0.152711	0.229221	411.149	0.182365
ABC	0.1	0.999	twoepochs_eq	0.14373	0.122793	0.251773	773.037	0.186449
ABC	0.1	0.999	twoepochs_eq	0.0763125	0.163379	0.232165	776.488	0.178704
ABC	0.1	0.999	twoepochs_eq	0.123085	0.117676	0.236182	768.934	0.176654
ABC	0.1	0.999	twoepochs_eq	0.069347	0.157717	0.222115	381.676	0.18045
ABC	0.1	0.999	twoepochs_eq	0.0735399	0.160017	0.231379	414.263	0.183247
ABC	0.1	0.999	twoepochs_eq	0.0822448	0.130727	0.207408	707.729	0.172218
ABC	0.1	0.999	twoepochs_eq	0.0314028	0.173912	0.201766	753.991	0.170571
ABC	0.1	0.999	twoepochs_eq	0.098782	0.142359	0.240508	757.114	0.182693
ABC	0.1	0.999	twoepochs_eq	0.106894	0.144719	0.237034	781.895	0.186477
ABC	0.1	0.999	twoepochs_eq	0.0940223	0.135991	0.225421	432.965	0.178509
