method	w	b	analysis	aw	as	a
ABC	0.1	0.999	twoepochs_eq	0.111437	0.137256	0.237616
ABC	0.1	0.999	twoepochs_eq	0.110492	0.129876	0.23848
ABC	0.1	0.999	twoepochs_eq	0.179161	0.106834	0.271376
ABC	0.1	0.999	twoepochs_eq	0.101906	0.14898	0.25346
ABC	0.1	0.999	twoepochs_eq	0.096675	0.135163	0.21796
ABC	0.1	0.999	twoepochs_eq	0.143551	0.11931	0.244427
ABC	0.1	0.999	twoepochs_eq	0.102071	0.137757	0.24008
ABC	0.1	0.999	twoepochs_eq	0.0678214	0.157365	0.227511
ABC	0.1	0.999	twoepochs_eq	0.084924	0.137338	0.215366
ABC	0.1	0.999	twoepochs_eq	0.0630505	0.153218	0.203826
ABC	0.1	0.999	twoepochs_eq	0.0871251	0.154681	0.234273
ABC	0.1	0.999	twoepochs_eq	0.167112	0.100227	0.259815
ABC	0.1	0.999	twoepochs_eq	0.071114	0.135769	0.204929
ABC	0.1	0.999	twoepochs_eq	0.148382	0.13347	0.266236
ABC	0.1	0.999	twoepochs_eq	0.121898	0.142391	0.251208
ABC	0.1	0.999	twoepochs_eq	0.0967398	0.1437	0.224259
ABC	0.1	0.999	twoepochs_eq	0.0861405	0.133581	0.214932
ABC	0.1	0.999	twoepochs_eq	0.0867985	0.152711	0.229221
ABC	0.1	0.999	twoepochs_eq	0.14373	0.122793	0.251773
ABC	0.1	0.999	twoepochs_eq	0.0763125	0.163379	0.232165
ABC	0.1	0.999	twoepochs_eq	0.123085	0.117676	0.236182
ABC	0.1	0.999	twoepochs_eq	0.069347	0.157717	0.222115
ABC	0.1	0.999	twoepochs_eq	0.0735399	0.160017	0.231379
ABC	0.1	0.999	twoepochs_eq	0.0822448	0.130727	0.207408
ABC	0.1	0.999	twoepochs_eq	0.0314028	0.173912	0.201766
ABC	0.1	0.999	twoepochs_eq	0.098782	0.142359	0.240508
ABC	0.1	0.999	twoepochs_eq	0.106894	0.144719	0.237034
ABC	0.1	0.999	twoepochs_eq	0.0940223	0.135991	0.225421
ABC	0.1	0.999	twoepochs_eq	0.0942182	0.133937	0.230298
ABC	0.1	0.999	twoepochs_eq	0.074017	0.150928	0.220863
ABC	0.1	0.999	twoepochs_eq	0.0793194	0.149214	0.225421
ABC	0.1	0.999	twoepochs_eq	0.14034	0.12219	0.266809
ABC	0.1	0.999	twoepochs_eq	0.121627	0.152083	0.257265
ABC	0.1	0.999	twoepochs_eq	0.0989238	0.13241	0.239957
ABC	0.1	0.999	twoepochs_eq	0.0877992	0.125378	0.202523
ABC	0.1	0.999	twoepochs_eq	0.142527	0.117024	0.241095
ABC	0.1	0.999	twoepochs_eq	0.0727943	0.149783	0.211567
ABC	0.1	0.999	twoepochs_eq	0.109646	0.130418	0.225953
ABC	0.1	0.999	twoepochs_eq	0.113456	0.126809	0.224292
ABC	0.1	0.999	twoepochs_eq	0.0975321	0.140245	0.230893
ABC	0.1	0.999	twoepochs_eq	0.0659066	0.148872	0.211645
ABC	0.1	0.999	twoepochs_eq	0.0849627	0.144324	0.225085
ABC	0.1	0.999	twoepochs_eq	0.081634	0.155609	0.227221
ABC	0.1	0.999	twoepochs_eq	0.0576736	0.145355	0.203818
ABC	0.1	0.999	twoepochs_eq	0.0374118	0.16124	0.196306
ABC	0.1	0.999	twoepochs_eq	0.114239	0.133227	0.234607
ABC	0.1	0.999	twoepochs_eq	0.0850978	0.151535	0.23041
ABC	0.1	0.999	twoepochs_eq	0.0867567	0.141329	0.223031
ABC	0.1	0.999	twoepochs_eq	0.167459	0.11262	0.253516
ABC	0.1	0.999	twoepochs_eq	0.0802278	0.138313	0.209185
ABC	0.1	0.999	twoepochs_eq	0.0909776	0.146182	0.226941
ABC	0.1	0.999	twoepochs_eq	0.120337	0.128342	0.248442
ABC	0.1	0.999	twoepochs_eq	0.0852978	0.15446	0.223425
ABC	0.1	0.999	twoepochs_eq	0.0823297	0.157614	0.228768
ABC	0.1	0.999	twoepochs_eq	0.0393575	0.179043	0.213152
ABC	0.1	0.999	twoepochs_eq	0.113257	0.125254	0.241499
ABC	0.1	0.999	twoepochs_eq	0.106486	0.142934	0.229969
ABC	0.1	0.999	twoepochs_eq	0.0735267	0.140939	0.212302
ABC	0.1	0.999	twoepochs_eq	0.123766	0.123679	0.233582
ABC	0.1	0.999	twoepochs_eq	0.0498702	0.168089	0.208268
ABC	0.1	0.999	twoepochs_eq	0.097221	0.120989	0.215008
ABC	0.1	0.999	twoepochs_eq	0.0637637	0.148986	0.204822
ABC	0.1	0.999	twoepochs_eq	0.0901916	0.144265	0.220799
ABC	0.1	0.999	twoepochs_eq	0.133596	0.116276	0.235076
ABC	0.1	0.999	twoepochs_eq	0.128009	0.123074	0.231619
ABC	0.1	0.999	twoepochs_eq	0.144293	0.111867	0.253367
ABC	0.1	0.999	twoepochs_eq	0.129303	0.123016	0.243929
ABC	0.1	0.999	twoepochs_eq	0.0945361	0.15957	0.229279
ABC	0.1	0.999	twoepochs_eq	0.105027	0.112805	0.214764
ABC	0.1	0.999	twoepochs_eq	0.105134	0.135386	0.229983
ABC	0.1	0.999	twoepochs_eq	0.12434	0.13314	0.244929
ABC	0.1	0.999	twoepochs_eq	0.112862	0.138306	0.238401
ABC	0.1	0.999	twoepochs_eq	0.0757426	0.154129	0.225765
ABC	0.1	0.999	twoepochs_eq	0.0853609	0.143649	0.231534
ABC	0.1	0.999	twoepochs_eq	0.0991967	0.133525	0.232283
ABC	0.1	0.999	twoepochs_eq	0.0906103	0.141533	0.22147
ABC	0.1	0.999	twoepochs_eq	0.0643372	0.165963	0.229165
ABC	0.1	0.999	twoepochs_eq	0.106811	0.146215	0.232696
ABC	0.1	0.999	twoepochs_eq	0.108158	0.142755	0.225799
ABC	0.1	0.999	twoepochs_eq	0.0998529	0.148796	0.236902
ABC	0.1	0.999	twoepochs_eq	0.106851	0.14091	0.238599
ABC	0.1	0.999	twoepochs_eq	0.0906732	0.126719	0.216658
ABC	0.1	0.999	twoepochs_eq	0.0983895	0.127565	0.223591
ABC	0.1	0.999	twoepochs_eq	0.0651146	0.165244	0.224699
ABC	0.1	0.999	twoepochs_eq	0.104911	0.129734	0.232646
ABC	0.1	0.999	twoepochs_eq	0.0782061	0.159627	0.237291
ABC	0.1	0.999	twoepochs_eq	0.100347	0.133741	0.219357
ABC	0.1	0.999	twoepochs_eq	0.1023	0.146717	0.239467
ABC	0.1	0.999	twoepochs_eq	0.0636278	0.159101	0.214943
ABC	0.1	0.999	twoepochs_eq	0.105513	0.136506	0.236184
ABC	0.1	0.999	twoepochs_eq	0.136899	0.115556	0.242407
ABC	0.1	0.999	twoepochs_eq	0.0907308	0.146614	0.226837
ABC	0.1	0.999	twoepochs_eq	0.107691	0.121408	0.220032
ABC	0.1	0.999	twoepochs_eq	0.108574	0.128335	0.241174
ABC	0.1	0.999	twoepochs_eq	0.0580809	0.171435	0.225968
ABC	0.1	0.999	twoepochs_eq	0.0516129	0.17521	0.216491
ABC	0.1	0.999	twoepochs_eq	0.0656244	0.155518	0.217006
ABC	0.1	0.999	twoepochs_eq	0.136846	0.126089	0.248878
ABC	0.1	0.999	twoepochs_eq	0.106599	0.11763	0.216021
