method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.1	0.999	twoepochs_eq	0.0656391	0.151597	0.214996	450.02	0.17578
ABC	0.1	0.999	twoepochs_eq	0.0930324	0.154199	0.231562	420.533	0.189308
ABC	0.1	0.999	twoepochs_eq	0.146447	0.142971	0.259697	745.932	0.197508
ABC	0.1	0.999	twoepochs_eq	0.129816	0.115706	0.234259	414.736	0.175802
ABC	0.1	0.999	twoepochs_eq	0.0558617	0.154482	0.202423	746.686	0.175283
ABC	0.1	0.999	twoepochs_eq	0.108122	0.123265	0.221034	809.645	0.178218
ABC	0.1	0.999	twoepochs_eq	0.105713	0.165801	0.243942	803.749	0.183499
ABC	0.1	0.999	twoepochs_eq	0.103644	0.132333	0.220698	791.522	0.181281
ABC	0.1	0.999	twoepochs_eq	0.0667096	0.154125	0.215609	417.035	0.171687
ABC	0.1	0.999	twoepochs_eq	0.0970796	0.139709	0.226905	431.014	0.177311
ABC	0.1	0.999	twoepochs_eq	0.0559556	0.152668	0.201822	769.321	0.170203
ABC	0.1	0.999	twoepochs_eq	0.142292	0.120788	0.250568	757.958	0.192337
ABC	0.1	0.999	twoepochs_eq	0.0857509	0.167923	0.234765	753.283	0.182222
ABC	0.1	0.999	twoepochs_eq	0.12529	0.132196	0.246891	770.064	0.184789
ABC	0.1	0.999	twoepochs_eq	0.148638	0.116453	0.225353	750.478	0.176761
ABC	0.1	0.999	twoepochs_eq	0.12127	0.121059	0.234172	761.116	0.173778
ABC	0.1	0.999	twoepochs_eq	0.133445	0.119747	0.233347	450.603	0.1742
ABC	0.1	0.999	twoepochs_eq	0.105801	0.13992	0.244757	745.761	0.186071
ABC	0.1	0.999	twoepochs_eq	0.034182	0.181016	0.207142	414.891	0.174212
ABC	0.1	0.999	twoepochs_eq	0.0736429	0.159958	0.227777	794.418	0.17802
ABC	0.1	0.999	twoepochs_eq	0.103545	0.116928	0.220889	804.055	0.171313
ABC	0.1	0.999	twoepochs_eq	0.0868431	0.144972	0.227854	793.746	0.177616
ABC	0.1	0.999	twoepochs_eq	0.110168	0.13152	0.225676	497.961	0.180019
ABC	0.1	0.999	twoepochs_eq	0.084214	0.156931	0.240955	760.245	0.184502
ABC	0.1	0.999	twoepochs_eq	0.0850575	0.153758	0.220145	438.656	0.176241
ABC	0.1	0.999	twoepochs_eq	0.102265	0.130843	0.224779	429.892	0.17408
ABC	0.1	0.999	twoepochs_eq	0.086488	0.156791	0.229598	757.207	0.188878
ABC	0.1	0.999	twoepochs_eq	0.126236	0.125475	0.243472	439.013	0.189474
ABC	0.1	0.999	twoepochs_eq	0.0932076	0.138701	0.219942	393.429	0.175783
ABC	0.1	0.999	twoepochs_eq	0.0785606	0.153182	0.223099	436.311	0.182013
ABC	0.1	0.999	twoepochs_eq	0.111248	0.145996	0.240932	795.438	0.193486
ABC	0.1	0.999	twoepochs_eq	0.113401	0.122242	0.21711	437.979	0.168963
ABC	0.1	0.999	twoepochs_eq	0.090879	0.140061	0.220227	390.083	0.174303
ABC	0.1	0.999	twoepochs_eq	0.12295	0.120113	0.243899	438.91	0.188963
ABC	0.1	0.999	twoepochs_eq	0.0788613	0.149187	0.208792	418.596	0.17175
ABC	0.1	0.999	twoepochs_eq	0.123617	0.131119	0.221432	381.531	0.178412
ABC	0.1	0.999	twoepochs_eq	0.116767	0.121698	0.231193	806.415	0.182654
ABC	0.1	0.999	twoepochs_eq	0.0819594	0.133329	0.206843	790.463	0.167
ABC	0.1	0.999	twoepochs_eq	0.139056	0.136653	0.257204	394.175	0.19576
ABC	0.1	0.999	twoepochs_eq	0.0583341	0.151788	0.205458	759.978	0.165117
ABC	0.1	0.999	twoepochs_eq	0.121056	0.141722	0.255765	751.859	0.194885
ABC	0.1	0.999	twoepochs_eq	0.0404034	0.18381	0.223607	773.443	0.178745
ABC	0.1	0.999	twoepochs_eq	0.0849927	0.146803	0.225992	761.242	0.181139
ABC	0.1	0.999	twoepochs_eq	0.125484	0.129795	0.234001	784.474	0.171
ABC	0.1	0.999	twoepochs_eq	0.0934412	0.145727	0.225697	451.364	0.177199
ABC	0.1	0.999	twoepochs_eq	0.0769691	0.151046	0.215592	768.621	0.171248
ABC	0.1	0.999	twoepochs_eq	0.101668	0.153826	0.247183	405.605	0.18802
ABC	0.1	0.999	twoepochs_eq	0.10722	0.148261	0.229711	785.497	0.191851
ABC	0.1	0.999	twoepochs_eq	0.141218	0.120166	0.246675	789.716	0.190729
ABC	0.1	0.999	twoepochs_eq	0.064578	0.156927	0.212139	408.667	0.172285
ABC	0.1	0.999	twoepochs_eq	0.106622	0.133658	0.225365	456.271	0.178049
ABC	0.1	0.999	twoepochs_eq	0.103324	0.153669	0.243875	742.362	0.187036
ABC	0.1	0.999	twoepochs_eq	0.118568	0.14509	0.24645	777.467	0.191839
ABC	0.1	0.999	twoepochs_eq	0.0942939	0.150235	0.240762	421.84	0.183695
ABC	0.1	0.999	twoepochs_eq	0.121755	0.129278	0.237758	799.552	0.181786
ABC	0.1	0.999	twoepochs_eq	0.121818	0.143644	0.228594	424.413	0.178938
ABC	0.1	0.999	twoepochs_eq	0.11835	0.130568	0.221764	773.452	0.184819
ABC	0.1	0.999	twoepochs_eq	0.103529	0.136181	0.22653	791.769	0.177204
ABC	0.1	0.999	twoepochs_eq	0.0864793	0.171108	0.246834	421.799	0.19553
ABC	0.1	0.999	twoepochs_eq	0.120484	0.123763	0.240929	784.831	0.191225
ABC	0.1	0.999	twoepochs_eq	0.0702453	0.160108	0.222604	443.275	0.171277
ABC	0.1	0.999	twoepochs_eq	0.041087	0.183366	0.223278	808.202	0.179315
ABC	0.1	0.999	twoepochs_eq	0.0912402	0.133773	0.212818	416.863	0.17466
ABC	0.1	0.999	twoepochs_eq	0.126117	0.12999	0.227228	774.492	0.171823
ABC	0.1	0.999	twoepochs_eq	0.150607	0.133707	0.256347	787.876	0.190996
ABC	0.1	0.999	twoepochs_eq	0.113948	0.121524	0.234141	786.275	0.186396
ABC	0.1	0.999	twoepochs_eq	0.10959	0.139228	0.232287	739.176	0.186471
ABC	0.1	0.999	twoepochs_eq	0.0893038	0.151539	0.230571	434.615	0.182976
ABC	0.1	0.999	twoepochs_eq	0.101044	0.140045	0.229084	417.783	0.186297
ABC	0.1	0.999	twoepochs_eq	0.117139	0.129031	0.233178	393.889	0.18448
ABC	0.1	0.999	twoepochs_eq	0.0616288	0.163159	0.22112	765.254	0.175629
