method	w	b	analysis	aw	as	a
ABC	0.1	0.999	twoepochs_eq	0.0656391	0.151597	0.214996
ABC	0.1	0.999	twoepochs_eq	0.0930324	0.154199	0.231562
ABC	0.1	0.999	twoepochs_eq	0.146447	0.142971	0.259697
ABC	0.1	0.999	twoepochs_eq	0.129816	0.115706	0.234259
ABC	0.1	0.999	twoepochs_eq	0.0558617	0.154482	0.202423
ABC	0.1	0.999	twoepochs_eq	0.108122	0.123265	0.221034
ABC	0.1	0.999	twoepochs_eq	0.105713	0.165801	0.243942
ABC	0.1	0.999	twoepochs_eq	0.103644	0.132333	0.220698
ABC	0.1	0.999	twoepochs_eq	0.0667096	0.154125	0.215609
ABC	0.1	0.999	twoepochs_eq	0.0970796	0.139709	0.226905
ABC	0.1	0.999	twoepochs_eq	0.0559556	0.152668	0.201822
ABC	0.1	0.999	twoepochs_eq	0.142292	0.120788	0.250568
ABC	0.1	0.999	twoepochs_eq	0.0857509	0.167923	0.234765
ABC	0.1	0.999	twoepochs_eq	0.12529	0.132196	0.246891
ABC	0.1	0.999	twoepochs_eq	0.148638	0.116453	0.225353
ABC	0.1	0.999	twoepochs_eq	0.12127	0.121059	0.234172
ABC	0.1	0.999	twoepochs_eq	0.133445	0.119747	0.233347
ABC	0.1	0.999	twoepochs_eq	0.105801	0.13992	0.244757
ABC	0.1	0.999	twoepochs_eq	0.034182	0.181016	0.207142
ABC	0.1	0.999	twoepochs_eq	0.0736429	0.159958	0.227777
ABC	0.1	0.999	twoepochs_eq	0.103545	0.116928	0.220889
ABC	0.1	0.999	twoepochs_eq	0.0868431	0.144972	0.227854
ABC	0.1	0.999	twoepochs_eq	0.110168	0.13152	0.225676
ABC	0.1	0.999	twoepochs_eq	0.084214	0.156931	0.240955
ABC	0.1	0.999	twoepochs_eq	0.0850575	0.153758	0.220145
ABC	0.1	0.999	twoepochs_eq	0.102265	0.130843	0.224779
ABC	0.1	0.999	twoepochs_eq	0.086488	0.156791	0.229598
ABC	0.1	0.999	twoepochs_eq	0.126236	0.125475	0.243472
ABC	0.1	0.999	twoepochs_eq	0.0932076	0.138701	0.219942
ABC	0.1	0.999	twoepochs_eq	0.0785606	0.153182	0.223099
ABC	0.1	0.999	twoepochs_eq	0.111248	0.145996	0.240932
ABC	0.1	0.999	twoepochs_eq	0.113401	0.122242	0.21711
ABC	0.1	0.999	twoepochs_eq	0.090879	0.140061	0.220227
ABC	0.1	0.999	twoepochs_eq	0.12295	0.120113	0.243899
ABC	0.1	0.999	twoepochs_eq	0.0788613	0.149187	0.208792
ABC	0.1	0.999	twoepochs_eq	0.123617	0.131119	0.221432
ABC	0.1	0.999	twoepochs_eq	0.116767	0.121698	0.231193
ABC	0.1	0.999	twoepochs_eq	0.0819594	0.133329	0.206843
ABC	0.1	0.999	twoepochs_eq	0.139056	0.136653	0.257204
ABC	0.1	0.999	twoepochs_eq	0.0583341	0.151788	0.205458
ABC	0.1	0.999	twoepochs_eq	0.121056	0.141722	0.255765
ABC	0.1	0.999	twoepochs_eq	0.0404034	0.18381	0.223607
ABC	0.1	0.999	twoepochs_eq	0.0849927	0.146803	0.225992
ABC	0.1	0.999	twoepochs_eq	0.125484	0.129795	0.234001
ABC	0.1	0.999	twoepochs_eq	0.0934412	0.145727	0.225697
ABC	0.1	0.999	twoepochs_eq	0.0769691	0.151046	0.215592
ABC	0.1	0.999	twoepochs_eq	0.101668	0.153826	0.247183
ABC	0.1	0.999	twoepochs_eq	0.10722	0.148261	0.229711
ABC	0.1	0.999	twoepochs_eq	0.141218	0.120166	0.246675
ABC	0.1	0.999	twoepochs_eq	0.064578	0.156927	0.212139
ABC	0.1	0.999	twoepochs_eq	0.106622	0.133658	0.225365
ABC	0.1	0.999	twoepochs_eq	0.103324	0.153669	0.243875
ABC	0.1	0.999	twoepochs_eq	0.118568	0.14509	0.24645
ABC	0.1	0.999	twoepochs_eq	0.0942939	0.150235	0.240762
ABC	0.1	0.999	twoepochs_eq	0.121755	0.129278	0.237758
ABC	0.1	0.999	twoepochs_eq	0.121818	0.143644	0.228594
ABC	0.1	0.999	twoepochs_eq	0.11835	0.130568	0.221764
ABC	0.1	0.999	twoepochs_eq	0.103529	0.136181	0.22653
ABC	0.1	0.999	twoepochs_eq	0.0864793	0.171108	0.246834
ABC	0.1	0.999	twoepochs_eq	0.120484	0.123763	0.240929
ABC	0.1	0.999	twoepochs_eq	0.0702453	0.160108	0.222604
ABC	0.1	0.999	twoepochs_eq	0.041087	0.183366	0.223278
ABC	0.1	0.999	twoepochs_eq	0.0912402	0.133773	0.212818
ABC	0.1	0.999	twoepochs_eq	0.126117	0.12999	0.227228
ABC	0.1	0.999	twoepochs_eq	0.150607	0.133707	0.256347
ABC	0.1	0.999	twoepochs_eq	0.113948	0.121524	0.234141
ABC	0.1	0.999	twoepochs_eq	0.10959	0.139228	0.232287
ABC	0.1	0.999	twoepochs_eq	0.0893038	0.151539	0.230571
ABC	0.1	0.999	twoepochs_eq	0.101044	0.140045	0.229084
ABC	0.1	0.999	twoepochs_eq	0.117139	0.129031	0.233178
ABC	0.1	0.999	twoepochs_eq	0.0616288	0.163159	0.22112
ABC	0.1	0.999	twoepochs_eq	0.0876435	0.152163	0.225325
ABC	0.1	0.999	twoepochs_eq	0.103236	0.136937	0.238051
ABC	0.1	0.999	twoepochs_eq	0.106706	0.1311	0.204705
ABC	0.1	0.999	twoepochs_eq	0.141579	0.128247	0.251736
ABC	0.1	0.999	twoepochs_eq	0.10683	0.11944	0.21666
ABC	0.1	0.999	twoepochs_eq	0.0738489	0.137085	0.214423
ABC	0.1	0.999	twoepochs_eq	0.0475737	0.150325	0.196045
ABC	0.1	0.999	twoepochs_eq	0.128347	0.126943	0.255905
ABC	0.1	0.999	twoepochs_eq	0.0423276	0.180776	0.215313
ABC	0.1	0.999	twoepochs_eq	0.10336	0.132205	0.224391
ABC	0.1	0.999	twoepochs_eq	0.109054	0.107415	0.218403
ABC	0.1	0.999	twoepochs_eq	0.110231	0.130467	0.225538
ABC	0.1	0.999	twoepochs_eq	0.0799454	0.168894	0.222862
ABC	0.1	0.999	twoepochs_eq	0.114944	0.144253	0.245669
ABC	0.1	0.999	twoepochs_eq	0.0889697	0.131493	0.214828
ABC	0.1	0.999	twoepochs_eq	0.11162	0.132888	0.228913
ABC	0.1	0.999	twoepochs_eq	0.0717918	0.164423	0.230375
ABC	0.1	0.999	twoepochs_eq	0.116265	0.139207	0.251971
ABC	0.1	0.999	twoepochs_eq	0.0923749	0.140082	0.230795
ABC	0.1	0.999	twoepochs_eq	0.0998502	0.13146	0.229866
ABC	0.1	0.999	twoepochs_eq	0.0738454	0.140885	0.207532
ABC	0.1	0.999	twoepochs_eq	0.143081	0.111549	0.250504
ABC	0.1	0.999	twoepochs_eq	0.0707207	0.167673	0.231371
ABC	0.1	0.999	twoepochs_eq	0.0611901	0.162524	0.208016
ABC	0.1	0.999	twoepochs_eq	0.107025	0.146071	0.226533
ABC	0.1	0.999	twoepochs_eq	0.087837	0.165354	0.246377
ABC	0.1	0.999	twoepochs_eq	0.13149	0.122195	0.24271
ABC	0.1	0.999	twoepochs_eq	0.0724977	0.154658	0.21458
ABC	0.1	0.999	twoepochs_eq	0.103062	0.150757	0.241527
ABC	0.1	0.999	twoepochs_s1	0.180463	0.109375	0.280312
ABC	0.1	0.999	twoepochs_s1	0.149743	0.13815	0.275468
ABC	0.1	0.999	twoepochs_s1	0.117264	0.174674	0.283072
ABC	0.1	0.999	twoepochs_s1	0.155985	0.150482	0.277488
ABC	0.1	0.999	twoepochs_s1	0.167304	0.135219	0.294582
ABC	0.1	0.999	twoepochs_s1	0.148872	0.140545	0.268291
ABC	0.1	0.999	twoepochs_s1	0.163812	0.12539	0.287166
ABC	0.1	0.999	twoepochs_s1	0.141955	0.132973	0.261751
ABC	0.1	0.999	twoepochs_s1	0.0990477	0.150016	0.249349
ABC	0.1	0.999	twoepochs_s1	0.114894	0.137238	0.255696
ABC	0.1	0.999	twoepochs_s1	0.190217	0.135165	0.296672
ABC	0.1	0.999	twoepochs_s1	0.138679	0.141943	0.272667
ABC	0.1	0.999	twoepochs_s1	0.169522	0.122474	0.281472
ABC	0.1	0.999	twoepochs_s1	0.11824	0.144357	0.263635
ABC	0.1	0.999	twoepochs_s1	0.168414	0.110798	0.276197
ABC	0.1	0.999	twoepochs_s1	0.121693	0.168087	0.269637
ABC	0.1	0.999	twoepochs_s1	0.184278	0.115685	0.289574
ABC	0.1	0.999	twoepochs_s1	0.0907867	0.17168	0.253122
ABC	0.1	0.999	twoepochs_s1	0.154856	0.142424	0.278266
ABC	0.1	0.999	twoepochs_s1	0.123422	0.157182	0.263457
ABC	0.1	0.999	twoepochs_s1	0.141723	0.157884	0.273967
ABC	0.1	0.999	twoepochs_s1	0.151727	0.131947	0.273132
ABC	0.1	0.999	twoepochs_s1	0.106295	0.161306	0.264316
ABC	0.1	0.999	twoepochs_s1	0.172157	0.136026	0.2865
ABC	0.1	0.999	twoepochs_s1	0.143999	0.126591	0.264064
ABC	0.1	0.999	twoepochs_s1	0.134425	0.149363	0.278698
ABC	0.1	0.999	twoepochs_s1	0.164674	0.136955	0.285525
ABC	0.1	0.999	twoepochs_s1	0.157823	0.132378	0.279104
ABC	0.1	0.999	twoepochs_s1	0.166984	0.119915	0.281222
ABC	0.1	0.999	twoepochs_s1	0.0853421	0.174354	0.258204
ABC	0.1	0.999	twoepochs_s1	0.140515	0.152827	0.293427
ABC	0.1	0.999	twoepochs_s1	0.132167	0.14329	0.265638
ABC	0.1	0.999	twoepochs_s1	0.187237	0.109327	0.280851
ABC	0.1	0.999	twoepochs_s1	0.150644	0.118227	0.261469
ABC	0.1	0.999	twoepochs_s1	0.179998	0.124368	0.286155
ABC	0.1	0.999	twoepochs_s1	0.132581	0.160367	0.267952
ABC	0.1	0.999	twoepochs_s1	0.166237	0.132312	0.28107
