input_α	input_α_cumu	sampled_α	sampled_α_cumu
-0.68568	-0.23492	-0.10696	-0.04018
-0.18289	0.08953	0.09304	0.08983
-0.08852	0.13991	0.1237	0.13243
-0.02619	0.16817	0.18177	0.15394
0.04044	0.18678	0.1674	0.17368
0.04393	0.19836	0.20608	0.18739
0.07949	0.20909	0.21024	0.19664
0.10087	0.21721	0.14892	0.2084
0.10276	0.22396	0.20095	0.2148
0.12335	0.23029	0.22465	0.21974
0.11794	0.2356	0.23993	0.22842
0.16339	0.24095	0.20148	0.23067
0.14739	0.24429	0.28237	0.23504
0.10915	0.24823	0.23435	0.23896
0.15528	0.25353	0.19392	0.24294
0.18682	0.25724	0.2279	0.24833
0.21515	0.25979	0.25866	0.24709
0.18963	0.26148	0.25688	0.2514
0.23047	0.26405	0.25323	0.2533
0.21758	0.26519	0.3042	0.25618
0.24464	0.26679	0.26707	0.25833
0.25747	0.26752	0.23279	0.2596
0.25135	0.26785	0.30909	0.26136
0.18679	0.26837	0.20456	0.26159
0.24035	0.27095	0.25061	0.26617
0.25909	0.27189	0.24413	0.2692
0.18869	0.27228	0.31959	0.26523
0.22124	0.27471	0.28102	0.27406
0.23476	0.27632	0.24904	0.27248
0.24729	0.27755	0.27338	0.2723
0.19545	0.27846	0.28394	0.2751
0.28671	0.28072	0.24971	0.2771
0.24765	0.28055	0.25075	0.27288
0.24772	0.28145	0.23655	0.27632
0.30337	0.28238	0.20966	0.27973
0.28978	0.28176	0.24097	0.27886
0.32748	0.28154	0.26997	0.27869
0.18538	0.28014	0.2506	0.2792
0.28395	0.2827	0.22869	0.27825
0.2522	0.28266	0.20198	0.2812
0.23262	0.28352	0.24312	0.27914
0.23939	0.28497	0.3392	0.27504
0.26498	0.28623	0.27711	0.28262
0.28394	0.28682	0.3827	0.28398
0.21767	0.28691	0.31057	0.2804
0.3164	0.28881	0.31877	0.28157
0.31288	0.28797	0.2386	0.28148
0.25862	0.28726	0.2616	0.28547
0.31996	0.2881	0.27663	0.28484
0.32148	0.28713	0.3215	0.28617
0.32691	0.2861	0.2752	0.28277
0.27914	0.28493	0.33269	0.28209
0.30136	0.28511	0.21736	0.28529
0.3435	0.28462	0.3559	0.28132
0.36607	0.28284	0.26195	0.28569
0.28535	0.28018	0.27641	0.2907
0.33472	0.28002	0.2085	0.28515
0.35228	0.27834	0.1966	0.27949
0.37306	0.27588	0.19162	0.28198
0.31512	0.2725	0.24421	0.27749
0.30203	0.27113	0.36385	0.27251
0.33889	0.27009	0.26467	0.27879
0.39905	0.26754	0.3805	0.27737
0.30974	0.26236	0.23983	0.27464
0.28997	0.26069	0.12264	0.27743
0.23532	0.25958	0.3174	0.27761
0.3422	0.26043	0.34177	0.28071
0.32652	0.25753	0.32183	0.27378
0.30549	0.25481	0.29183	0.27113
0.30152	0.25284	0.27613	0.26882
0.32917	0.25099	0.21038	0.27707
0.27915	0.24754	0.28574	0.27591
0.15476	0.2462	0.31098	0.26321
0.42489	0.24967	0.36241	0.26925
0.1875	0.24099	0.3403	0.27301
0.29249	0.24319	0.22827	0.25944
0.29049	0.24086	0.21408	0.26277
0.26273	0.23829	0.26362	0.26006
0.28804	0.23707	0.11848	0.26263
0.47064	0.23434	0.20189	0.25629
0.19905	0.22028	0.37198	0.25632
0.24215	0.22154	0.28193	0.25742
0.35865	0.22036	0.29366	0.25762
0.31806	0.20992	0.28332	0.25215
-0.06947	0.2025	0.32606	0.25552
0.29268	0.21727	0.21087	0.2512
0.22637	0.21165	0.32028	0.24223
0.14703	0.21046	0.15374	0.23061
0.27079	0.21542	0.23327	0.22881
0.38497	0.2102	0.18275	0.23292
0.36297	0.1882	0.27006	0.20885
0.25182	0.16487	0.13379	0.23488
0.2258	0.15326	0.28049	0.21029
0.29542	0.14209	0.12429	0.20949
0.23873	0.11288	0.23279	0.18546
0.21917	0.08506	0.20975	0.17938
0.09502	0.05258	0.18471	0.17307
0.09798	0.03582	0.18663	0.16887
0.10207	0.00219	0.1167	0.13746
-0.12325	-0.12325	0.09207	0.03777
