trueAlpha	asymp_nopos	asymp	analyticalEstimation	path
0.194	0.163	0.132	0.257	noDemog_0.4_0.1_0.2
0.178	0.161	0.102	0.231	noDemog_0.4_0.2_0.2
0.161	0.151	0.058	0.203	noDemog_0.4_0.3_0.2
0.273	0.222	0.185	0.313	noDemog_0.4_0.1_0.4
0.255	0.207	0.132	0.296	noDemog_0.4_0.2_0.4
0.238	0.191	0.078	0.277	noDemog_0.4_0.3_0.4
0.369	0.337	0.294	0.379	noDemog_0.4_0.1_0.8
0.352	0.312	0.221	0.374	noDemog_0.4_0.2_0.8
0.335	0.306	0.168	0.37	noDemog_0.4_0.3_0.8
0.401	0.367	0.319	0.401	noDemog_0.4_0.1_0.999
0.386	0.338	0.241	0.403	noDemog_0.4_0.2_0.999
0.37	0.354	0.203	0.404	noDemog_0.4_0.3_0.999
