f	alphas	sfs	path
1	-0.5129681381030067	nopos	noDemog_0.4_0.2_0.4
2	-0.07611396169908602	nopos	noDemog_0.4_0.2_0.4
3	-0.002052405075272379	nopos	noDemog_0.4_0.2_0.4
4	0.03568989117867272	nopos	noDemog_0.4_0.2_0.4
5	0.05824710123663002	nopos	noDemog_0.4_0.2_0.4
6	0.07452261813016381	nopos	noDemog_0.4_0.2_0.4
7	0.08740163008730151	nopos	noDemog_0.4_0.2_0.4
8	0.10217652869862714	nopos	noDemog_0.4_0.2_0.4
9	0.11055413222628563	nopos	noDemog_0.4_0.2_0.4
10	0.11889905076529539	nopos	noDemog_0.4_0.2_0.4
11	0.12744527439795716	nopos	noDemog_0.4_0.2_0.4
12	0.13211129840329694	nopos	noDemog_0.4_0.2_0.4
13	0.1367092787690921	nopos	noDemog_0.4_0.2_0.4
14	0.14190489793690475	nopos	noDemog_0.4_0.2_0.4
15	0.14532935198681585	nopos	noDemog_0.4_0.2_0.4
16	0.14967959134730002	nopos	noDemog_0.4_0.2_0.4
17	0.15328488542916752	nopos	noDemog_0.4_0.2_0.4
18	0.15771306683673492	nopos	noDemog_0.4_0.2_0.4
19	0.1589899843094118	nopos	noDemog_0.4_0.2_0.4
20	0.159651215022117	nopos	noDemog_0.4_0.2_0.4
21	0.16372487898323262	nopos	noDemog_0.4_0.2_0.4
22	0.1683557031666859	nopos	noDemog_0.4_0.2_0.4
23	0.17274391887918483	nopos	noDemog_0.4_0.2_0.4
24	0.17311214343084358	nopos	noDemog_0.4_0.2_0.4
25	0.17771756461382415	nopos	noDemog_0.4_0.2_0.4
26	0.1782774304941539	nopos	noDemog_0.4_0.2_0.4
27	0.17768029660833795	nopos	noDemog_0.4_0.2_0.4
28	0.17965041838511753	nopos	noDemog_0.4_0.2_0.4
29	0.17995306337169703	nopos	noDemog_0.4_0.2_0.4
30	0.17928433237216224	nopos	noDemog_0.4_0.2_0.4
31	0.18266496321460324	nopos	noDemog_0.4_0.2_0.4
32	0.18563349321672218	nopos	noDemog_0.4_0.2_0.4
33	0.1892913618939971	nopos	noDemog_0.4_0.2_0.4
34	0.19338535478163787	nopos	noDemog_0.4_0.2_0.4
35	0.19597199407129395	nopos	noDemog_0.4_0.2_0.4
36	0.1996353028086768	nopos	noDemog_0.4_0.2_0.4
37	0.20050902627448497	nopos	noDemog_0.4_0.2_0.4
38	0.20127995624463557	nopos	noDemog_0.4_0.2_0.4
39	0.20127277679183941	nopos	noDemog_0.4_0.2_0.4
40	0.20366513034510758	nopos	noDemog_0.4_0.2_0.4
41	0.20725707748496147	nopos	noDemog_0.4_0.2_0.4
42	0.2078180338505583	nopos	noDemog_0.4_0.2_0.4
43	0.20550988198628428	nopos	noDemog_0.4_0.2_0.4
44	0.2067053424636015	nopos	noDemog_0.4_0.2_0.4
45	0.20460438114322954	nopos	noDemog_0.4_0.2_0.4
46	0.20572465172599785	nopos	noDemog_0.4_0.2_0.4
47	0.20559761890121353	nopos	noDemog_0.4_0.2_0.4
48	0.20624362970124277	nopos	noDemog_0.4_0.2_0.4
49	0.2092549191024854	nopos	noDemog_0.4_0.2_0.4
50	0.20851696363801875	nopos	noDemog_0.4_0.2_0.4
51	0.20940726103696816	nopos	noDemog_0.4_0.2_0.4
52	0.20949559368907789	nopos	noDemog_0.4_0.2_0.4
53	0.20760775661856756	nopos	noDemog_0.4_0.2_0.4
54	0.2103044085953809	nopos	noDemog_0.4_0.2_0.4
55	0.20815982156654012	nopos	noDemog_0.4_0.2_0.4
56	0.20905711573783925	nopos	noDemog_0.4_0.2_0.4
57	0.2064546183893109	nopos	noDemog_0.4_0.2_0.4
58	0.20737962045438663	nopos	noDemog_0.4_0.2_0.4
59	0.20781003900800354	nopos	noDemog_0.4_0.2_0.4
60	0.20641794022408755	nopos	noDemog_0.4_0.2_0.4
61	0.20141220712993302	nopos	noDemog_0.4_0.2_0.4
62	0.20063231813757332	nopos	noDemog_0.4_0.2_0.4
63	0.20264809095178093	nopos	noDemog_0.4_0.2_0.4
64	0.20094715865634383	nopos	noDemog_0.4_0.2_0.4
65	0.2054223650025443	nopos	noDemog_0.4_0.2_0.4
66	0.2003221798028021	nopos	noDemog_0.4_0.2_0.4
67	0.20136247687674802	nopos	noDemog_0.4_0.2_0.4
68	0.20462620693436684	nopos	noDemog_0.4_0.2_0.4
69	0.20083298823374074	nopos	noDemog_0.4_0.2_0.4
70	0.2030461137054641	nopos	noDemog_0.4_0.2_0.4
71	0.20314771729145376	nopos	noDemog_0.4_0.2_0.4
72	0.20868918795304203	nopos	noDemog_0.4_0.2_0.4
73	0.21403245794921444	nopos	noDemog_0.4_0.2_0.4
74	0.2169135563452339	nopos	noDemog_0.4_0.2_0.4
75	0.21806526788086	nopos	noDemog_0.4_0.2_0.4
76	0.21838430285181687	nopos	noDemog_0.4_0.2_0.4
77	0.2296098713836573	nopos	noDemog_0.4_0.2_0.4
78	0.2265284178988506	nopos	noDemog_0.4_0.2_0.4
79	0.23201491552101738	nopos	noDemog_0.4_0.2_0.4
80	0.23333528713919016	nopos	noDemog_0.4_0.2_0.4
81	0.23418684427576164	nopos	noDemog_0.4_0.2_0.4
82	0.24680385616622758	nopos	noDemog_0.4_0.2_0.4
83	0.2565690370628242	nopos	noDemog_0.4_0.2_0.4
84	0.2566606734585125	nopos	noDemog_0.4_0.2_0.4
85	0.256230978359165	nopos	noDemog_0.4_0.2_0.4
86	0.24991322621342793	nopos	noDemog_0.4_0.2_0.4
87	0.24338576683007662	nopos	noDemog_0.4_0.2_0.4
88	0.24186913656730868	nopos	noDemog_0.4_0.2_0.4
89	0.2444644946111032	nopos	noDemog_0.4_0.2_0.4
90	0.23650067391965846	nopos	noDemog_0.4_0.2_0.4
91	0.2446460973860104	nopos	noDemog_0.4_0.2_0.4
92	0.23913687581691911	nopos	noDemog_0.4_0.2_0.4
93	0.24315236945686514	nopos	noDemog_0.4_0.2_0.4
94	0.20788765964004774	nopos	noDemog_0.4_0.2_0.4
95	0.2127885153165021	nopos	noDemog_0.4_0.2_0.4
96	0.17716195283969027	nopos	noDemog_0.4_0.2_0.4
