trueAlpha	asymp_nopos	asymp	analyticalEstimation	path	analysis
0.209	0.176	0.132	0.257	isolation_0.4_0.1_0.2	isolation
0.192	0.177	0.097	0.231	isolation_0.4_0.2_0.2	isolation
0.175	0.159	0.033	0.203	isolation_0.4_0.3_0.2	isolation
0.25	0.194		0.313	isolation_0.4_0.1_0.4	isolation
0.265	0.227	0.073	0.295	isolation_0.4_0.2_0.4	isolation
0.25	0.242	0.078	0.277	isolation_0.4_0.3_0.4	isolation
0.359	0.322	0.269	0.379	isolation_0.4_0.1_0.8	isolation
0.351	0.311		0.374	isolation_0.4_0.2_0.8	isolation
0.34	0.321		0.37	isolation_0.4_0.3_0.8	isolation
0.388	0.377	0.315	0.401	isolation_0.4_0.1_0.999	isolation
0.381	0.347		0.402	isolation_0.4_0.2_0.999	isolation
0.365	0.366		0.404	isolation_0.4_0.3_0.999	isolation
