f	alphas	B	alphaW	sfs	path	analysis
0.000757002271006813	-0.5843135719990069	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.001514004542013626	-0.2896715592364827	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.002271006813020439	-0.21203460466004342	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.003028009084027252	-0.17040360416299705	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.003785011355034065	-0.14394438040832558	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.004542013626040878	-0.12495816308968655	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.005299015897047691	-0.10830365307750034	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.006056018168054504	-0.0957041643360188	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.006813020439061317	-0.08392431375216391	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.00757002271006813	-0.07381916888344908	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.008327024981074944	-0.06583396593184565	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.009084027252081756	-0.06012184871959114	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.00984102952308857	-0.05412640152064374	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.010598031794095382	-0.04837680670721922	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.011355034065102196	-0.04400046443218586	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.012112036336109008	-0.03843655898219289	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.012869038607115822	-0.0348014860699295	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.013626040878122634	-0.03121386772562973	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.014383043149129448	-0.025251933838949636	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.01514004542013626	-0.021047721963204813	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.015897047691143074	-0.018394057077632198	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.016654049962149888	-0.015129603647062506	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.0174110522331567	-0.012587089312816824	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.018168054504163512	-0.008692230613635665	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.018925056775170326	-0.006699531279959592	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
0.01968205904617714	-0.0019356182453271753	0.2	0.1	Neutral + deleterious	isolation_0.4_0.1_0.2	isolation
